case,cache,stage,metric,unit,value
h12_n1,cold,k1,c2clink__enabled_mask,,0
h12_n1,cold,k1,c2clink__present,,0
h12_n1,cold,k1,derived__pct_occupancy_per_barrier_count,,2230
h12_n1,cold,k1,derived__pct_occupancy_per_block_size,%,5190
h12_n1,cold,k1,derived__pct_occupancy_per_register_count,%/register,8524
h12_n1,cold,k1,derived__pct_occupancy_per_shared_mem_size,%/byte,14020
h12_n1,cold,k1,device__attribute_architecture,,416
h12_n1,cold,k1,device__attribute_async_engine_count,,4
h12_n1,cold,k1,device__attribute_can_flush_remote_writes,,0
h12_n1,cold,k1,device__attribute_can_map_host_memory,,1
h12_n1,cold,k1,device__attribute_can_tex2d_gather,,1
h12_n1,cold,k1,device__attribute_can_use_64_bit_stream_mem_ops,,1
h12_n1,cold,k1,device__attribute_can_use_64_bit_stream_mem_ops_v1,,0
h12_n1,cold,k1,device__attribute_can_use_host_pointer_for_registered_mem,,1
h12_n1,cold,k1,device__attribute_can_use_stream_mem_ops_v1,,0
h12_n1,cold,k1,device__attribute_can_use_stream_wait_value_nor,,1
h12_n1,cold,k1,device__attribute_can_use_stream_wait_value_nor_v1,,0
h12_n1,cold,k1,device__attribute_chip,,419
h12_n1,cold,k1,device__attribute_clock_rate,,2032000
h12_n1,cold,k1,device__attribute_cluster_launch,,1
h12_n1,cold,k1,device__attribute_compute_capability_major,,10
h12_n1,cold,k1,device__attribute_compute_capability_minor,,3
h12_n1,cold,k1,device__attribute_compute_mode,,0
h12_n1,cold,k1,device__attribute_compute_preemption_supported,,1
h12_n1,cold,k1,device__attribute_concurrent_kernels,,1
h12_n1,cold,k1,device__attribute_concurrent_managed_access,,1
h12_n1,cold,k1,device__attribute_confidential_computing_mode,,No-CC
h12_n1,cold,k1,device__attribute_cooperative_launch,,1
h12_n1,cold,k1,device__attribute_cooperative_multi_device_launch,,1
h12_n1,cold,k1,device__attribute_deferred_mapping_cuda_array_supported,,1
h12_n1,cold,k1,device__attribute_device_index,,0
h12_n1,cold,k1,device__attribute_direct_managed_mem_access_from_host,,0
h12_n1,cold,k1,device__attribute_display_name,,NVIDIA B300 SXM6 AC
h12_n1,cold,k1,device__attribute_dma_buf_supported,,1
h12_n1,cold,k1,device__attribute_ecc_enabled,,1
h12_n1,cold,k1,device__attribute_fb_bus_width,,7680
h12_n1,cold,k1,device__attribute_fbp_count,,16
h12_n1,cold,k1,device__attribute_generic_compression_supported,,1
h12_n1,cold,k1,device__attribute_global_l1_cache_supported,,1
h12_n1,cold,k1,device__attribute_global_memory_bus_width,,7680
h12_n1,cold,k1,device__attribute_gpu_direct_rdma_flush_writes_options,,1
h12_n1,cold,k1,device__attribute_gpu_direct_rdma_supported,,1
h12_n1,cold,k1,device__attribute_gpu_direct_rdma_with_cuda_vmm_supported,,1
h12_n1,cold,k1,device__attribute_gpu_direct_rdma_writes_ordering,,100
h12_n1,cold,k1,device__attribute_gpu_overlap,,1
h12_n1,cold,k1,device__attribute_gpu_pci_device_id,,830607582
h12_n1,cold,k1,device__attribute_gpu_pci_ext_device_id,,12674
h12_n1,cold,k1,device__attribute_gpu_pci_ext_downstream_link_rate,,16000
h12_n1,cold,k1,device__attribute_gpu_pci_ext_downstream_link_width,,32
h12_n1,cold,k1,device__attribute_gpu_pci_ext_gen,,5
h12_n1,cold,k1,device__attribute_gpu_pci_ext_gpu_gen,,5
h12_n1,cold,k1,device__attribute_gpu_pci_ext_gpu_link_rate,,64000
h12_n1,cold,k1,device__attribute_gpu_pci_ext_gpu_link_width,,16
h12_n1,cold,k1,device__attribute_gpu_pci_revision_id,,161
h12_n1,cold,k1,device__attribute_gpu_pci_sub_system_id,,551948510
h12_n1,cold,k1,device__attribute_handle_type_fabric_supported,,1
h12_n1,cold,k1,device__attribute_handle_type_posix_file_descriptor_supported,,1
h12_n1,cold,k1,device__attribute_handle_type_win32_handle_supported,,0
h12_n1,cold,k1,device__attribute_handle_type_win32_kmt_handle_supported,,0
h12_n1,cold,k1,device__attribute_host_native_atomic_supported,,0
h12_n1,cold,k1,device__attribute_host_numa_id,,0
h12_n1,cold,k1,device__attribute_host_register_supported,,1
h12_n1,cold,k1,device__attribute_implementation,,419
h12_n1,cold,k1,device__attribute_integrated,,0
h12_n1,cold,k1,device__attribute_ipc_event_supported,,1
h12_n1,cold,k1,device__attribute_kernel_exec_timeout,,0
h12_n1,cold,k1,device__attribute_l2_cache_size,,132644864
h12_n1,cold,k1,device__attribute_l2s_count,,192
h12_n1,cold,k1,device__attribute_limits_max_cta_per_sm,,32
h12_n1,cold,k1,device__attribute_limits_num_tpcs,,74
h12_n1,cold,k1,device__attribute_local_l1_cache_supported,,1
h12_n1,cold,k1,device__attribute_managed_memory,,1
h12_n1,cold,k1,device__attribute_max_access_policy_window_size,,134217728
h12_n1,cold,k1,device__attribute_max_block_dim_x,,1024
h12_n1,cold,k1,device__attribute_max_block_dim_y,,1024
h12_n1,cold,k1,device__attribute_max_block_dim_z,,64
h12_n1,cold,k1,device__attribute_max_blocks_per_multiprocessor,,32
h12_n1,cold,k1,device__attribute_max_gpu_frequency_khz,,2032000
h12_n1,cold,k1,device__attribute_max_grid_dim_x,,2147483647
h12_n1,cold,k1,device__attribute_max_grid_dim_y,,65535
h12_n1,cold,k1,device__attribute_max_grid_dim_z,,65535
h12_n1,cold,k1,device__attribute_max_ipc_per_multiprocessor,,4
h12_n1,cold,k1,device__attribute_max_ipc_per_scheduler,,1
h12_n1,cold,k1,device__attribute_max_mem_frequency_khz,,3996000
h12_n1,cold,k1,device__attribute_max_persisting_l2_cache_size,,82903040
h12_n1,cold,k1,device__attribute_max_pitch,,2147483647
h12_n1,cold,k1,device__attribute_max_registers_per_block,,65536
h12_n1,cold,k1,device__attribute_max_registers_per_multiprocessor,,65536
h12_n1,cold,k1,device__attribute_max_registers_per_thread,,255
h12_n1,cold,k1,device__attribute_max_shared_memory_per_block,,49152
h12_n1,cold,k1,device__attribute_max_shared_memory_per_block_optin,,232448
h12_n1,cold,k1,device__attribute_max_shared_memory_per_multiprocessor,,233472
h12_n1,cold,k1,device__attribute_max_threads_per_block,,1024
h12_n1,cold,k1,device__attribute_max_threads_per_multiprocessor,,2048
h12_n1,cold,k1,device__attribute_max_warps_per_multiprocessor,,64
h12_n1,cold,k1,device__attribute_max_warps_per_scheduler,,16
h12_n1,cold,k1,device__attribute_maximum_surface1d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_surface1d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface1d_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_height,,65536
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_height,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_surface2d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surface2d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_surface3d_depth,,16384
h12_n1,cold,k1,device__attribute_maximum_surface3d_height,,16384
h12_n1,cold,k1,device__attribute_maximum_surface3d_width,,16384
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_layered_layers,,2046
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_surfacecubemap_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_texture1d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_linear_width,,268435456
h12_n1,cold,k1,device__attribute_maximum_texture1d_mipmapped_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture1d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture2d_gather_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_gather_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_height,,65536
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_layers,,2048
h12_n1,cold,k1,device__attribute_maximum_texture2d_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_height,,65000
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_pitch,,2097120
h12_n1,cold,k1,device__attribute_maximum_texture2d_linear_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture2d_mipmapped_height,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_mipmapped_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texture2d_width,,131072
h12_n1,cold,k1,device__attribute_maximum_texture3d_depth,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_depth_alternate,,32768
h12_n1,cold,k1,device__attribute_maximum_texture3d_height,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_height_alternate,,8192
h12_n1,cold,k1,device__attribute_maximum_texture3d_width,,16384
h12_n1,cold,k1,device__attribute_maximum_texture3d_width_alternate,,8192
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_layered_layers,,2046
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_layered_width,,32768
h12_n1,cold,k1,device__attribute_maximum_texturecubemap_width,,32768
h12_n1,cold,k1,device__attribute_mem_sync_domain_count,,4
h12_n1,cold,k1,device__attribute_memory_clock_rate,,3996000
h12_n1,cold,k1,device__attribute_memory_pools_supported,,1
h12_n1,cold,k1,device__attribute_mempool_supported_handle_types,,9
h12_n1,cold,k1,device__attribute_mps_enabled,,0
h12_n1,cold,k1,device__attribute_multi_gpu_board,,0
h12_n1,cold,k1,device__attribute_multi_gpu_board_group_id,,0
