case,mode,round,median_us,min_us,max_us
h12_n1,k1,0,42.15039908885956,42.054399847984314,42.49599874019623
h12_n1,full,0,788.7231826782227,788.2559776306152,789.0207767486572
h12_n1,k2,0,743.836784362793,743.7376022338867,744.1984176635742
h12_n1,k2,1,743.8975811004639,743.7888145446777,743.9680099487305
h12_n1,k1,1,42.19839870929718,42.16639995574951,42.3552006483078
h12_n1,full,1,788.7392044067383,788.2336139678955,789.3727779388428
h12_n1,k1,2,42.0991986989975,41.93280041217804,42.127999663352966
h12_n1,k2,2,742.4287796020508,742.3679828643799,742.7743911743164
h12_n1,full,2,788.585615158081,787.9072189331055,789.1392230987549
h12_n1,k1,3,41.97759926319122,41.705599427223206,42.105600237846375
h12_n1,k2,3,742.9887771606445,742.7199840545654,743.1807994842529
h12_n1,full,3,788.7392044067383,788.156795501709,789.1136169433594
h12_n1,k1,4,42.16960072517395,41.99039936065674,42.38719940185547
h12_n1,full,4,788.8415813446045,788.3327960968018,789.1359806060791
h12_n1,k2,4,742.3583984375,742.0639991760254,742.4767971038818
h12_n8,k1,0,42.287999391555786,42.076799273490906,42.374399304389954
h12_n8,full,0,144.49280500411987,144.37119960784912,144.56640481948853
h12_n8,k2,0,101.42079591751099,101.3759970664978,101.58400535583496
h12_n8,k2,1,101.45599842071533,101.37280225753784,101.58720016479492
h12_n8,k1,1,42.0991986989975,41.88799858093262,42.399999499320984
h12_n8,full,1,144.4767951965332,144.19840574264526,144.63679790496826
h12_n8,k1,2,42.08959937095642,42.051199078559875,42.3552006483078
h12_n8,k2,2,101.49439573287964,101.30560398101807,101.68639421463013
h12_n8,full,2,144.47360038757324,144.0832018852234,144.53120231628418
h12_n8,k1,3,42.15039908885956,42.08320081233978,42.40320026874542
h12_n8,k2,3,101.4847993850708,101.3152003288269,101.52319669723511
h12_n8,full,3,144.48000192642212,144.37439441680908,144.6079969406128
h12_n8,k1,4,42.105600237846375,42.03200042247772,42.26880073547363
h12_n8,full,4,144.38079595565796,144.16320323944092,144.4640040397644
h12_n8,k2,4,101.47199630737305,101.24479532241821,101.52959823608398
h96_n1,k1,0,273.59681129455566,273.4816074371338,273.9680051803589
h96_n1,full,0,1027.4784088134766,1026.9696235656738,1027.683162689209
h96_n1,k2,0,750.816011428833,750.544023513794,751.0047912597656
h96_n1,k2,1,750.7552146911621,750.5919933319092,750.9920120239258
h96_n1,k1,1,273.5039949417114,273.3504056930542,273.6991882324219
h96_n1,full,1,1027.1583557128906,1026.6464233398438,1027.9135704040527
h96_n1,k1,2,273.68640899658203,273.3567953109741,273.7407922744751
h96_n1,k2,2,750.7264137268066,750.6239891052246,751.2959957122803
h96_n1,full,2,1027.286434173584,1026.8287658691406,1027.667236328125
h96_n1,k1,3,273.6128091812134,273.5136032104492,273.8176107406616
h96_n1,k2,3,752.0927906036377,751.862382888794,752.3615837097168
h96_n1,full,3,1027.571201324463,1027.3344039916992,1027.7631759643555
h96_n1,k1,4,273.4528064727783,273.305606842041,273.6191987991333
h96_n1,full,4,1027.0591735839844,1026.9760131835938,1027.6127815246582
h96_n1,k2,4,750.8927822113037,750.7040023803711,751.0848045349121
h96_n8,k1,0,273.9232063293457,273.7951993942261,274.1247892379761
h96_n8,full,0,676.5984058380127,676.5215873718262,676.9472122192383
h96_n8,k2,0,401.03678703308105,400.84800720214844,401.28960609436035
h96_n8,k2,1,401.07197761535645,400.9439945220947,401.3120174407959
h96_n8,k1,1,273.45919609069824,273.4431982040405,273.89440536499023
h96_n8,full,1,676.7680168151855,676.6208171844482,676.9855976104736
h96_n8,k1,2,273.907208442688,273.5327959060669,274.1919994354248
h96_n8,k2,2,405.3664207458496,405.2896022796631,405.9232234954834
h96_n8,full,2,679.6192169189453,677.5231838226318,685.0624084472656
h96_n8,k1,3,273.4911918640137,273.32799434661865,273.855996131897
h96_n8,k2,3,402.4735927581787,402.28800773620605,402.7200222015381
h96_n8,full,3,677.1615982055664,676.7680168151855,679.2319774627686
h96_n8,k1,4,273.5071897506714,273.308801651001,273.6991882324219
h96_n8,full,4,680.025577545166,676.2944221496582,697.5584030151367
h96_n8,k2,4,414.3648147583008,414.13121223449707,414.4000053405762
h96_skew8,k1,0,282.2943925857544,282.01279640197754,282.49919414520264
h96_skew8,full,0,1005.1520347595215,1004.7167778015137,1005.840015411377
h96_skew8,k2,0,719.4272041320801,719.2031860351562,720.6624031066895
h96_skew8,k2,1,720.1888084411621,719.212818145752,720.9152221679688
h96_skew8,k1,1,282.3999881744385,282.00318813323975,282.64319896698
h96_skew8,full,1,1004.6463966369629,1004.1119575500488,1006.5247535705566
h96_skew8,k1,2,282.29761123657227,281.9808006286621,282.43839740753174
h96_skew8,k2,2,720.7071781158447,719.2831993103027,720.963191986084
h96_skew8,full,2,1005.3695678710938,1003.4048080444336,1006.9055557250977
h96_skew8,k1,3,282.18560218811035,281.9648027420044,282.38720893859863
h96_skew8,k2,3,719.5648193359375,718.7456130981445,719.76318359375
h96_skew8,full,3,1005.1679611206055,1004.8064231872559,1006.390380859375
h96_skew8,k1,4,282.31360912323,281.9295883178711,282.5567960739136
h96_skew8,full,4,1004.9407958984375,1004.2976379394531,1005.9359550476074
h96_skew8,k2,4,720.0543880462646,719.75998878479,720.4480171203613
