case,cache,stage,time_us,sm_pct,dram_pct,l2_pct,l1_pct,tensor_elapsed_pct,tensor_active_pct,sm_active_pct,eligible,issue_pct,occupancy_pct,l2_hit_pct,dram_bytes,dram_GBs,tensor_ops,tensor_TFLOPs,tensor_ops_per_dram_byte,clock_MHz,short_scoreboard_pct,long_scoreboard_pct,wait_pct,barrier_pct,math_throttle_pct,mio_throttle_pct
h12_n1,cold,k1,42.432,57.62,33.63,58.2,55.2,4.61,5.2,88.69,2.09,64.7,92.69,44.91,109401856.0,2578.2865761689286,1107296256.0,26.095782805429863,10.121366277369189,1902.76795814,11.68,16.4,7.87,39.51,2.44,3.47
h12_n1,cold,k2,742.464,2.49,2.13,3.34,4.63,2.34,30.52,7.68,0.34,32.47,9.37,53.46,121193984.0,163.232135160762,10468982784.0,14.100323765192654,86.38203348443434,1984.24250199,16.27,9.04,23.92,2.68,0.11,2.78
h12_n1,warm,k1,43.552,54.65,45.69,58.62,52.03,4.37,4.87,89.8,1.89,60.67,92.32,45.48,152532736.0,3502.3130051432763,1107296256.0,25.424693607641437,7.259400736114771,1892.8091706500002,10.61,19.94,7.31,38.3,2.17,3.26
h12_n1,warm,k2,741.76,2.49,2.2,3.4,4.6,2.34,30.62,7.64,0.34,32.56,9.37,60.55,125051648.0,168.58774805867125,10468982784.0,14.113706298533216,83.71727163483683,1985.01705403,16.08,9.19,24.0,2.73,0.12,2.94
h12_n8,cold,k1,41.44,57.84,34.2,59.36,55.55,4.63,5.19,89.13,2.1,64.98,92.38,44.94,108719872.0,2623.5490347490345,1107296256.0,26.720469498069495,10.184856141110982,1904.0993001900001,11.65,16.61,7.89,39.21,2.45,3.42
h12_n8,cold,k2,100.768,19.18,16.13,25.86,35.91,17.97,29.04,61.9,0.33,31.13,9.33,53.18,124661504.0,1237.1140044458557,10468982784.0,103.8919377580184,83.97927546261595,1907.14314068,15.82,10.15,23.02,3.75,0.11,2.69
h12_n8,warm,k1,44.16,54.71,44.88,57.97,52.06,4.38,4.89,89.49,1.91,61.43,93.08,45.37,151918592.0,3440.1855072463763,1107296256.0,25.074643478260867,7.288747489181574,1894.31329257,10.74,19.75,7.41,38.39,2.22,3.09
h12_n8,warm,k2,102.4,18.96,17.7,25.92,35.46,17.77,28.98,61.32,0.33,31.0,9.32,59.03,138995456.0,1357.3775,10468982784.0,102.23615999999998,75.31888512959733,1904.4140625,15.78,10.2,22.92,4.18,0.12,2.78
h96_n1,cold,k1,273.984,70.15,58.69,72.11,67.57,5.62,5.72,98.31,2.26,71.32,96.61,45.3,1233500672.0,4502.0901658491,8858370048.0,32.331705676243864,7.181487816814096,1901.05215998,11.76,19.0,8.26,38.44,2.5,2.41
h96_n1,cold,k2,748.288,20.54,18.68,27.11,39.02,19.34,30.31,63.81,0.34,32.2,9.37,53.0,1072545280.0,1433.3321929524461,83751862272.0,111.92463633253506,78.08701770800762,1904.97275113,16.6,8.84,23.71,2.63,0.11,2.85
h96_n1,warm,k1,278.304,68.91,59.72,71.13,66.16,5.53,5.59,98.92,2.16,69.48,96.27,45.26,1275034624.0,4581.445555938829,8858370048.0,31.829833735770958,6.947552545835806,1901.52315454,11.33,19.48,8.03,39.27,2.38,2.29
h96_n1,warm,k2,748.704,20.48,19.51,27.12,38.99,19.29,30.27,63.72,0.34,32.15,9.37,53.22,1120773120.0,1496.9508911398896,83751862272.0,111.86244800615464,74.72686556936698,1905.70205315,16.62,8.85,23.67,2.62,0.11,2.88
h96_n8,cold,k1,273.76,70.24,58.75,72.28,67.69,5.63,5.72,98.47,2.26,71.32,96.57,45.32,1233610240.0,4506.174167153711,8858370048.0,32.35816060783168,7.180849964410153,1896.88824153,11.76,19.03,8.26,38.4,2.49,2.4
h96_n8,cold,k2,400.288,38.9,36.28,53.23,69.84,36.31,40.14,90.45,0.58,43.06,16.82,51.97,1114066432.0,2783.162203213686,83751862272.0,209.2290107922296,75.17672184202387,1900.27961118,15.86,10.94,18.79,4.29,3.81,3.48
h96_n8,warm,k1,277.92,69.14,59.83,71.26,66.44,5.54,5.61,98.91,2.19,69.97,96.29,45.26,1275490048.0,4589.4143926309725,8858370048.0,31.8738127806563,6.945071866213416,1901.62681707,11.43,19.41,8.1,39.1,2.41,2.32
h96_n8,warm,k2,402.24,38.76,37.77,53.11,69.64,36.18,39.96,90.54,0.58,42.86,16.82,52.24,1165405440.0,2897.2887828162284,83751862272.0,208.2136591885441,71.8650002800742,1900.6625397799999,15.78,11.29,18.69,4.36,3.78,3.53
h96_skew8,cold,k1,281.728,69.52,57.07,70.16,68.26,5.46,5.55,98.37,2.41,70.66,96.62,44.89,1233508352.0,4378.366197183098,8858370048.0,31.442987732848703,7.181443103840452,1900.05253294,9.87,19.61,7.97,38.59,2.63,2.64
h96_skew8,cold,k2,718.72,21.43,20.25,29.62,38.29,20.12,37.63,53.46,0.52,40.45,15.02,52.1,1116710400.0,1553.7488869100623,83751862272.0,116.52919394479073,74.99873044255699,1905.97659728,15.56,11.04,19.75,4.41,3.29,3.06
h96_skew8,warm,k1,283.904,68.86,58.58,69.96,67.61,5.41,5.49,98.45,2.36,69.91,96.58,45.06,1275834624.0,4493.894499549143,8858370048.0,31.201990982867446,6.943196148907775,1899.64521458,9.68,19.99,7.87,38.83,2.59,2.58
h96_skew8,warm,k2,719.04,21.45,21.18,29.68,38.35,20.14,37.11,54.26,0.51,39.74,14.81,52.35,1168214016.0,1624.6857142857143,83751862272.0,116.47733404539386,71.6922251615923,1913.03943452,15.63,11.27,19.83,4.47,3.15,3.1
