gate_case,seed,chunk,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count,model_zero_mask_mismatches,model_inf_mask_mismatches,model_nan_mask_mismatches,model_finite_max_abs_difference
constant_0,0,16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,16,0,0,0,0.0
constant_0,0,16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,16,0,0,0,0.0
constant_0,0,16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,136,0,0,0,0.0
constant_0,0,16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,136,0,0,0,0.0
constant_0,0,32,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,32,0,0,0,0.0
constant_0,0,32,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,32,0,0,0,0.0
constant_0,0,32,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,528,0,0,0,0.0
constant_0,0,32,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,528,0,0,0,0.0
constant_0,0,64,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,64,0,0,0,0.0
constant_0,0,64,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,64,0,0,0,0.0
constant_0,0,64,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,2080,0,0,0,0.0
constant_0,0,64,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,2080,0,0,0,0.0
constant_-0.1,0,16,decay,0,0,0,0,,,0.2021484375,0.90625,0.0019366360940265004,0.0019639664396712544,16,0,0,0,0.0
constant_-0.1,0,16,inverse,0,0,0,0,,,1.1015625,4.9375,0.015532424395116706,0.002258562572777581,16,0,0,0,0.0
constant_-0.1,0,16,direct,0,0,0,0,,,0.22265625,1.0,0.0019366360940265004,0.0016790453569904085,136,0,0,0,0.0
constant_-0.1,0,16,factorized,0,0,0,0,,,0.22267913818359375,1.0040283203125,0.0050048828125,0.0028171305168039314,136,0,0,0,0.0
constant_-0.1,0,32,decay,0,0,0,0,,,0.040771484375,0.90625,0.0019366360940265004,0.001946302054664292,32,0,0,0,0.0
constant_-0.1,0,32,inverse,0,0,0,0,,,1.1015625,24.5,0.055353228902930596,0.00211866779320702,32,0,0,0,0.0
constant_-0.1,0,32,direct,0,0,0,0,,,0.045166015625,1.0,0.0019366360940265004,0.0017279686227689233,528,0,0,0,0.0
constant_-0.1,0,32,factorized,0,0,0,0,,,0.04491233825683594,1.00494384765625,0.0050048828125,0.0026824363719823415,528,0,0,0,0.0
constant_-0.1,0,64,decay,0,0,0,0,,,0.0016632080078125,0.90625,0.0019366360940265004,0.0019455785408543226,64,0,0,0,0.0
constant_-0.1,0,64,inverse,0,0,0,0,,,1.1015625,600.0,1.8450378720780236,0.0019301404800393615,64,0,0,0,0.0
constant_-0.1,0,64,direct,0,0,0,0,,,0.00183868408203125,1.0,0.0019366360940276106,0.0017455452079852768,2080,0,0,0,0.0
constant_-0.1,0,64,factorized,0,0,0,0,,,0.001832127571105957,1.0052490234375,0.0052490234375,0.002471444683939884,2080,0,0,0,0.0
constant_-1,0,16,decay,0,0,0,0,,,1.126900315284729e-07,0.3671875,0.000691941171442334,0.0020296612965936167,16,0,0,0,0.0
constant_-1,0,16,inverse,0,0,0,0,,,2.71875,8912896.0,26785.479492127895,0.0029237723694483272,16,0,0,0,0.0
constant_-1,0,16,direct,0,0,0,0,,,3.0547380447387695e-07,1.0,0.000691941171442334,0.0007202358131202362,136,0,0,0,0.0
constant_-1,0,16,factorized,0,0,0,0,,,3.063760232180357e-07,1.00439453125,0.00439453125,0.002141791117360449,136,0,0,0,0.0
constant_-1,0,32,decay,0,0,0,0,,,1.2656542480726785e-14,0.3671875,0.000691941171442334,0.002029661296593608,32,0,0,0,0.0
constant_-1,0,32,inverse,0,0,0,0,,,2.71875,79164837199872.0,201877017191.3125,0.002479594757913926,32,0,0,0,0.0
constant_-1,0,32,direct,0,0,0,0,,,3.441691376337985e-14,1.0,0.000691941171442334,0.0007336372761582286,528,0,0,0,0.0
constant_-1,0,32,factorized,0,0,0,0,,,3.4409974869475946e-14,1.0045166015625,0.0045166015625,0.002056727149294242,528,0,0,0,0.0
constant_-1,0,64,decay,0,0,0,0,,,1.601387637598654e-28,0.3671875,0.000691941171442334,0.002029661296593608,64,0,0,0,0.0
constant_-1,0,64,inverse,0,0,0,0,,,2.71875,6.22838582265457e+27,6.763258157047236e+24,0.0011081408066680185,64,0,0,0,0.0
constant_-1,0,64,direct,0,0,0,0,,,4.354512196819985e-28,1.0,0.000691941171442334,0.0007401986328812868,2080,0,0,0,0.0
constant_-1,0,64,factorized,0,0,0,0,,,4.3537726397213405e-28,1.00457763671875,0.00457763671875,0.00215386495681578,2080,0,0,0,0.0
constant_-3,0,16,decay,0,0,0,0,,,1.4227506535912076e-21,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,16,0,0,0,0.0
constant_-3,0,16,inverse,0,0,0,0,,,20.125,7.00976274800963e+20,6.973164088001823e+17,0.0009960329536374349,16,0,0,0,0.0
constant_-3,0,16,direct,0,0,0,0,,,2.8587361969832636e-20,1.0,1.7619132136055538e-05,1.819833312200697e-05,136,0,0,0,0.0
constant_-3,0,16,factorized,0,0,0,0,,,2.863285690352305e-20,1.0045166015625,0.0045166015625,0.0022948729780669346,136,0,0,0,0.0
constant_-3,0,32,decay,3,3,0,0,29,30,0.0,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,32,0,0,0,0.0
constant_-3,0,32,inverse,0,0,3,0,29,30,20.125,6.08121808071599e+37,,,32,0,0,0,0.0
constant_-3,0,32,direct,3,3,0,0,465,,0.0,1.0,1.7619132136055538e-05,1.8540562140202234e-05,528,0,0,0,0.0
constant_-3,0,32,factorized,87,87,0,6,435,,0.0,1.00457763671875,,,528,0,0,0,0.0
constant_-3,0,64,decay,35,35,0,0,29,30,0.0,0.0498046875,1.7619132136055538e-05,0.00037914535893604154,64,0,0,0,0.0
constant_-3,0,64,inverse,0,0,35,0,29,30,20.125,6.08121808071599e+37,,,64,0,0,0,0.0
constant_-3,0,64,direct,595,595,0,0,465,,0.0,1.0,1.7619132136055538e-05,1.8709309720406596e-05,2080,0,0,0,0.0
constant_-3,0,64,factorized,1015,1015,0,630,435,,0.0,1.00457763671875,,,2080,0,0,0,0.0
constant_-5,0,16,decay,0,0,0,0,,,1.8055593228630336e-35,0.006744384765625,6.437766539532999e-06,0.0009555437641525005,16,0,0,0,0.0
constant_-5,0,16,inverse,0,0,0,0,,,148.0,5.549267267559097e+34,8.644883165587194e+31,0.0015602795996931447,16,0,0,0,0.0
constant_-5,0,16,direct,0,0,0,0,,,2.68426485998971e-33,1.0,6.437766539532999e-06,6.233915444169895e-06,136,0,0,0,0.0
constant_-5,0,16,factorized,0,0,0,0,,,2.6722277978372897e-33,1.0045166015625,0.0045166015625,0.0020976203408346007,136,0,0,0,0.0
