input,chunk,i,j,direct,factorized
0,16,1,1,1,1
0,16,2,1,1,1
0,16,2,2,1,1
0,16,3,1,1,1
0,16,3,2,1,1
0,16,3,3,1,1
0,16,4,1,1,1
0,16,4,2,1,1
0,16,4,3,1,1
0,16,4,4,1,1
0,16,5,1,1,1
0,16,5,2,1,1
0,16,5,3,1,1
0,16,5,4,1,1
0,16,5,5,1,1
0,16,6,1,1,1
0,16,6,2,1,1
0,16,6,3,1,1
0,16,6,4,1,1
0,16,6,5,1,1
0,16,6,6,1,1
0,16,7,1,1,1
0,16,7,2,1,1
0,16,7,3,1,1
0,16,7,4,1,1
0,16,7,5,1,1
0,16,7,6,1,1
0,16,7,7,1,1
0,16,8,1,1,1
0,16,8,2,1,1
0,16,8,3,1,1
0,16,8,4,1,1
0,16,8,5,1,1
0,16,8,6,1,1
0,16,8,7,1,1
0,16,8,8,1,1
0,16,9,1,1,1
0,16,9,2,1,1
0,16,9,3,1,1
0,16,9,4,1,1
0,16,9,5,1,1
0,16,9,6,1,1
0,16,9,7,1,1
0,16,9,8,1,1
0,16,9,9,1,1
0,16,10,1,1,1
0,16,10,2,1,1
0,16,10,3,1,1
0,16,10,4,1,1
0,16,10,5,1,1
0,16,10,6,1,1
0,16,10,7,1,1
0,16,10,8,1,1
0,16,10,9,1,1
0,16,10,10,1,1
0,16,11,1,1,1
0,16,11,2,1,1
0,16,11,3,1,1
0,16,11,4,1,1
0,16,11,5,1,1
0,16,11,6,1,1
0,16,11,7,1,1
0,16,11,8,1,1
0,16,11,9,1,1
0,16,11,10,1,1
0,16,11,11,1,1
0,16,12,1,1,1
0,16,12,2,1,1
0,16,12,3,1,1
0,16,12,4,1,1
0,16,12,5,1,1
0,16,12,6,1,1
0,16,12,7,1,1
0,16,12,8,1,1
0,16,12,9,1,1
0,16,12,10,1,1
0,16,12,11,1,1
0,16,12,12,1,1
0,16,13,1,1,1
0,16,13,2,1,1
0,16,13,3,1,1
0,16,13,4,1,1
0,16,13,5,1,1
0,16,13,6,1,1
0,16,13,7,1,1
0,16,13,8,1,1
0,16,13,9,1,1
0,16,13,10,1,1
0,16,13,11,1,1
0,16,13,12,1,1
0,16,13,13,1,1
0,16,14,1,1,1
0,16,14,2,1,1
0,16,14,3,1,1
0,16,14,4,1,1
0,16,14,5,1,1
0,16,14,6,1,1
0,16,14,7,1,1
0,16,14,8,1,1
0,16,14,9,1,1
0,16,14,10,1,1
0,16,14,11,1,1
0,16,14,12,1,1
0,16,14,13,1,1
0,16,14,14,1,1
0,16,15,1,1,1
0,16,15,2,1,1
0,16,15,3,1,1
0,16,15,4,1,1
0,16,15,5,1,1
0,16,15,6,1,1
0,16,15,7,1,1
0,16,15,8,1,1
0,16,15,9,1,1
0,16,15,10,1,1
0,16,15,11,1,1
0,16,15,12,1,1
0,16,15,13,1,1
0,16,15,14,1,1
0,16,15,15,1,1
0,16,16,1,1,1
0,16,16,2,1,1
0,16,16,3,1,1
0,16,16,4,1,1
0,16,16,5,1,1
0,16,16,6,1,1
0,16,16,7,1,1
0,16,16,8,1,1
0,16,16,9,1,1
0,16,16,10,1,1
0,16,16,11,1,1
0,16,16,12,1,1
0,16,16,13,1,1
0,16,16,14,1,1
0,16,16,15,1,1
0,16,16,16,1,1
0,32,1,1,1,1
0,32,2,1,1,1
0,32,2,2,1,1
0,32,3,1,1,1
0,32,3,2,1,1
0,32,3,3,1,1
0,32,4,1,1,1
0,32,4,2,1,1
0,32,4,3,1,1
0,32,4,4,1,1
0,32,5,1,1,1
0,32,5,2,1,1
0,32,5,3,1,1
0,32,5,4,1,1
0,32,5,5,1,1
0,32,6,1,1,1
0,32,6,2,1,1
0,32,6,3,1,1
0,32,6,4,1,1
0,32,6,5,1,1
0,32,6,6,1,1
0,32,7,1,1,1
0,32,7,2,1,1
0,32,7,3,1,1
0,32,7,4,1,1
0,32,7,5,1,1
0,32,7,6,1,1
0,32,7,7,1,1
0,32,8,1,1,1
0,32,8,2,1,1
0,32,8,3,1,1
0,32,8,4,1,1
0,32,8,5,1,1
0,32,8,6,1,1
0,32,8,7,1,1
0,32,8,8,1,1
0,32,9,1,1,1
0,32,9,2,1,1
0,32,9,3,1,1
0,32,9,4,1,1
0,32,9,5,1,1
0,32,9,6,1,1
0,32,9,7,1,1
0,32,9,8,1,1
0,32,9,9,1,1
0,32,10,1,1,1
0,32,10,2,1,1
0,32,10,3,1,1
0,32,10,4,1,1
0,32,10,5,1,1
0,32,10,6,1,1
0,32,10,7,1,1
0,32,10,8,1,1
0,32,10,9,1,1
0,32,10,10,1,1
0,32,11,1,1,1
0,32,11,2,1,1
0,32,11,3,1,1
0,32,11,4,1,1
0,32,11,5,1,1
0,32,11,6,1,1
0,32,11,7,1,1
0,32,11,8,1,1
0,32,11,9,1,1
0,32,11,10,1,1
0,32,11,11,1,1
0,32,12,1,1,1
0,32,12,2,1,1
0,32,12,3,1,1
0,32,12,4,1,1
0,32,12,5,1,1
0,32,12,6,1,1
0,32,12,7,1,1
0,32,12,8,1,1
0,32,12,9,1,1
0,32,12,10,1,1
0,32,12,11,1,1
0,32,12,12,1,1
0,32,13,1,1,1
0,32,13,2,1,1
0,32,13,3,1,1
0,32,13,4,1,1
0,32,13,5,1,1
0,32,13,6,1,1
0,32,13,7,1,1
0,32,13,8,1,1
0,32,13,9,1,1
0,32,13,10,1,1
0,32,13,11,1,1
0,32,13,12,1,1
0,32,13,13,1,1
0,32,14,1,1,1
0,32,14,2,1,1
0,32,14,3,1,1
0,32,14,4,1,1
0,32,14,5,1,1
0,32,14,6,1,1
0,32,14,7,1,1
0,32,14,8,1,1
0,32,14,9,1,1
0,32,14,10,1,1
0,32,14,11,1,1
0,32,14,12,1,1
0,32,14,13,1,1
0,32,14,14,1,1
0,32,15,1,1,1
0,32,15,2,1,1
0,32,15,3,1,1
0,32,15,4,1,1
0,32,15,5,1,1
0,32,15,6,1,1
0,32,15,7,1,1
0,32,15,8,1,1
0,32,15,9,1,1
0,32,15,10,1,1
0,32,15,11,1,1
0,32,15,12,1,1
0,32,15,13,1,1
0,32,15,14,1,1
0,32,15,15,1,1
0,32,16,1,1,1
0,32,16,2,1,1
0,32,16,3,1,1
0,32,16,4,1,1
0,32,16,5,1,1
0,32,16,6,1,1
0,32,16,7,1,1
0,32,16,8,1,1
0,32,16,9,1,1
0,32,16,10,1,1
0,32,16,11,1,1
0,32,16,12,1,1
0,32,16,13,1,1
0,32,16,14,1,1
0,32,16,15,1,1
0,32,16,16,1,1
0,32,17,1,1,1
0,32,17,2,1,1
0,32,17,3,1,1
0,32,17,4,1,1
0,32,17,5,1,1
0,32,17,6,1,1
0,32,17,7,1,1
0,32,17,8,1,1
0,32,17,9,1,1
0,32,17,10,1,1
0,32,17,11,1,1
0,32,17,12,1,1
0,32,17,13,1,1
0,32,17,14,1,1
0,32,17,15,1,1
0,32,17,16,1,1
0,32,17,17,1,1
0,32,18,1,1,1
0,32,18,2,1,1
0,32,18,3,1,1
0,32,18,4,1,1
0,32,18,5,1,1
0,32,18,6,1,1
0,32,18,7,1,1
0,32,18,8,1,1
0,32,18,9,1,1
0,32,18,10,1,1
0,32,18,11,1,1
0,32,18,12,1,1
0,32,18,13,1,1
0,32,18,14,1,1
0,32,18,15,1,1
0,32,18,16,1,1
0,32,18,17,1,1
0,32,18,18,1,1
0,32,19,1,1,1
0,32,19,2,1,1
0,32,19,3,1,1
0,32,19,4,1,1
0,32,19,5,1,1
0,32,19,6,1,1
0,32,19,7,1,1
0,32,19,8,1,1
0,32,19,9,1,1
0,32,19,10,1,1
0,32,19,11,1,1
0,32,19,12,1,1
0,32,19,13,1,1
0,32,19,14,1,1
0,32,19,15,1,1
0,32,19,16,1,1
0,32,19,17,1,1
0,32,19,18,1,1
0,32,19,19,1,1
0,32,20,1,1,1
0,32,20,2,1,1
0,32,20,3,1,1
0,32,20,4,1,1
0,32,20,5,1,1
0,32,20,6,1,1
0,32,20,7,1,1
0,32,20,8,1,1
0,32,20,9,1,1
0,32,20,10,1,1
0,32,20,11,1,1
0,32,20,12,1,1
0,32,20,13,1,1
0,32,20,14,1,1
0,32,20,15,1,1
0,32,20,16,1,1
0,32,20,17,1,1
0,32,20,18,1,1
0,32,20,19,1,1
0,32,20,20,1,1
0,32,21,1,1,1
0,32,21,2,1,1
0,32,21,3,1,1
0,32,21,4,1,1
0,32,21,5,1,1
0,32,21,6,1,1
0,32,21,7,1,1
0,32,21,8,1,1
0,32,21,9,1,1
0,32,21,10,1,1
0,32,21,11,1,1
0,32,21,12,1,1
0,32,21,13,1,1
0,32,21,14,1,1
0,32,21,15,1,1
0,32,21,16,1,1
0,32,21,17,1,1
0,32,21,18,1,1
0,32,21,19,1,1
0,32,21,20,1,1
0,32,21,21,1,1
0,32,22,1,1,1
0,32,22,2,1,1
0,32,22,3,1,1
0,32,22,4,1,1
0,32,22,5,1,1
0,32,22,6,1,1
0,32,22,7,1,1
0,32,22,8,1,1
0,32,22,9,1,1
0,32,22,10,1,1
0,32,22,11,1,1
0,32,22,12,1,1
0,32,22,13,1,1
0,32,22,14,1,1
0,32,22,15,1,1
0,32,22,16,1,1
0,32,22,17,1,1
0,32,22,18,1,1
0,32,22,19,1,1
0,32,22,20,1,1
0,32,22,21,1,1
0,32,22,22,1,1
