input,chunk,token,prefix_log2,exp_fp32,inverse_fp32,decay,inverse
0,16,1,0,1,1,1,1
0,16,2,0,1,1,1,1
0,16,3,0,1,1,1,1
0,16,4,0,1,1,1,1
0,16,5,0,1,1,1,1
0,16,6,0,1,1,1,1
0,16,7,0,1,1,1,1
0,16,8,0,1,1,1,1
0,16,9,0,1,1,1,1
0,16,10,0,1,1,1,1
0,16,11,0,1,1,1,1
0,16,12,0,1,1,1,1
0,16,13,0,1,1,1,1
0,16,14,0,1,1,1,1
0,16,15,0,1,1,1,1
0,16,16,0,1,1,1,1
0,32,1,0,1,1,1,1
0,32,2,0,1,1,1,1
0,32,3,0,1,1,1,1
0,32,4,0,1,1,1,1
0,32,5,0,1,1,1,1
0,32,6,0,1,1,1,1
0,32,7,0,1,1,1,1
0,32,8,0,1,1,1,1
0,32,9,0,1,1,1,1
0,32,10,0,1,1,1,1
0,32,11,0,1,1,1,1
0,32,12,0,1,1,1,1
0,32,13,0,1,1,1,1
0,32,14,0,1,1,1,1
0,32,15,0,1,1,1,1
0,32,16,0,1,1,1,1
0,32,17,0,1,1,1,1
0,32,18,0,1,1,1,1
0,32,19,0,1,1,1,1
0,32,20,0,1,1,1,1
0,32,21,0,1,1,1,1
0,32,22,0,1,1,1,1
0,32,23,0,1,1,1,1
0,32,24,0,1,1,1,1
0,32,25,0,1,1,1,1
0,32,26,0,1,1,1,1
0,32,27,0,1,1,1,1
0,32,28,0,1,1,1,1
0,32,29,0,1,1,1,1
0,32,30,0,1,1,1,1
0,32,31,0,1,1,1,1
0,32,32,0,1,1,1,1
0,64,1,0,1,1,1,1
0,64,2,0,1,1,1,1
0,64,3,0,1,1,1,1
0,64,4,0,1,1,1,1
0,64,5,0,1,1,1,1
0,64,6,0,1,1,1,1
0,64,7,0,1,1,1,1
0,64,8,0,1,1,1,1
0,64,9,0,1,1,1,1
0,64,10,0,1,1,1,1
0,64,11,0,1,1,1,1
0,64,12,0,1,1,1,1
0,64,13,0,1,1,1,1
0,64,14,0,1,1,1,1
0,64,15,0,1,1,1,1
0,64,16,0,1,1,1,1
0,64,17,0,1,1,1,1
0,64,18,0,1,1,1,1
0,64,19,0,1,1,1,1
0,64,20,0,1,1,1,1
0,64,21,0,1,1,1,1
0,64,22,0,1,1,1,1
0,64,23,0,1,1,1,1
0,64,24,0,1,1,1,1
0,64,25,0,1,1,1,1
0,64,26,0,1,1,1,1
0,64,27,0,1,1,1,1
0,64,28,0,1,1,1,1
0,64,29,0,1,1,1,1
0,64,30,0,1,1,1,1
0,64,31,0,1,1,1,1
0,64,32,0,1,1,1,1
0,64,33,0,1,1,1,1
0,64,34,0,1,1,1,1
0,64,35,0,1,1,1,1
0,64,36,0,1,1,1,1
0,64,37,0,1,1,1,1
0,64,38,0,1,1,1,1
0,64,39,0,1,1,1,1
0,64,40,0,1,1,1,1
0,64,41,0,1,1,1,1
0,64,42,0,1,1,1,1
0,64,43,0,1,1,1,1
0,64,44,0,1,1,1,1
0,64,45,0,1,1,1,1
0,64,46,0,1,1,1,1
0,64,47,0,1,1,1,1
0,64,48,0,1,1,1,1
0,64,49,0,1,1,1,1
0,64,50,0,1,1,1,1
0,64,51,0,1,1,1,1
0,64,52,0,1,1,1,1
0,64,53,0,1,1,1,1
0,64,54,0,1,1,1,1
0,64,55,0,1,1,1,1
0,64,56,0,1,1,1,1
0,64,57,0,1,1,1,1
0,64,58,0,1,1,1,1
0,64,59,0,1,1,1,1
0,64,60,0,1,1,1,1
0,64,61,0,1,1,1,1
0,64,62,0,1,1,1,1
0,64,63,0,1,1,1,1
0,64,64,0,1,1,1,1
1,16,1,-0.144269511,0.90483737,1.10517097,0.90625,1.1015625
1,16,2,-0.288539022,0.818730772,1.22140276,0.8203125,1.21875
1,16,3,-0.432808518,0.740818143,1.34985888,0.7421875,1.3515625
1,16,4,-0.577078044,0.670320034,1.49182475,0.671875,1.4921875
1,16,5,-0.72134757,0.606530607,1.64872134,0.60546875,1.6484375
1,16,6,-0.865617096,0.548811615,1.82211888,0.546875,1.8203125
1,16,7,-1.00988662,0.49658525,2.01375294,0.49609375,2.015625
1,16,8,-1.15415609,0.449328929,2.22554111,0.44921875,2.21875
1,16,9,-1.29842556,0.40656963,2.45960331,0.40625,2.453125
1,16,10,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
1,16,11,-1.58696449,0.332871079,3.00416589,0.33203125,3
1,16,12,-1.73123395,0.301194221,3.32011676,0.30078125,3.3125
1,16,13,-1.87550342,0.272531807,3.6692965,0.2734375,3.671875
1,16,14,-2.01977301,0.246596962,4.05519962,0.247070312,4.0625
1,16,15,-2.16404247,0.223130167,4.48168898,0.22265625,4.46875
1,16,16,-2.30831194,0.201896518,4.95303202,0.202148438,4.9375
1,32,1,-0.144269511,0.90483737,1.10517097,0.90625,1.1015625
1,32,2,-0.288539022,0.818730772,1.22140276,0.8203125,1.21875
1,32,3,-0.432808518,0.740818143,1.34985888,0.7421875,1.3515625
1,32,4,-0.577078044,0.670320034,1.49182475,0.671875,1.4921875
1,32,5,-0.72134757,0.606530607,1.64872134,0.60546875,1.6484375
1,32,6,-0.865617096,0.548811615,1.82211888,0.546875,1.8203125
1,32,7,-1.00988662,0.49658525,2.01375294,0.49609375,2.015625
1,32,8,-1.15415609,0.449328929,2.22554111,0.44921875,2.21875
1,32,9,-1.29842556,0.40656963,2.45960331,0.40625,2.453125
1,32,10,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
1,32,11,-1.58696449,0.332871079,3.00416589,0.33203125,3
1,32,12,-1.73123395,0.301194221,3.32011676,0.30078125,3.3125
1,32,13,-1.87550342,0.272531807,3.6692965,0.2734375,3.671875
1,32,14,-2.01977301,0.246596962,4.05519962,0.247070312,4.0625
1,32,15,-2.16404247,0.223130167,4.48168898,0.22265625,4.46875
1,32,16,-2.30831194,0.201896518,4.95303202,0.202148438,4.9375
1,32,17,-2.45258141,0.182683527,5.47394705,0.182617188,5.46875
1,32,18,-2.59685087,0.165298909,6.04964685,0.165039062,6.0625
1,32,19,-2.74112034,0.149568632,6.68589354,0.149414062,6.6875
1,32,20,-2.8853898,0.135335311,7.38905478,0.135742188,7.375
1,32,21,-3.02965927,0.122456446,8.16616821,0.122558594,8.1875
1,32,22,-3.17392874,0.110803179,9.02501202,0.110839844,9
1,32,23,-3.3181982,0.100258864,9.97418022,0.100097656,10
1,32,24,-3.46246767,0.0907179788,11.0231733,0.0908203125,11
1,32,25,-3.60673714,0.0820850208,12.1824903,0.08203125,12.1875
1,32,26,-3.7510066,0.0742736012,13.4637337,0.07421875,13.4375
1,32,27,-3.89527607,0.0672055334,14.8797264,0.0673828125,14.875
1,32,28,-4.03954554,0.0608100817,16.4446411,0.0607910156,16.5
1,32,29,-4.183815,0.0550232381,18.174139,0.0549316406,18.125
1,32,30,-4.32808447,0.0497870892,20.0855293,0.0498046875,20.125
1,32,31,-4.47235394,0.045049224,22.1979408,0.0451660156,22.25
1,32,32,-4.6166234,0.0407622233,24.5325184,0.0407714844,24.5
1,64,1,-0.144269511,0.90483737,1.10517097,0.90625,1.1015625
1,64,2,-0.288539022,0.818730772,1.22140276,0.8203125,1.21875
1,64,3,-0.432808518,0.740818143,1.34985888,0.7421875,1.3515625
1,64,4,-0.577078044,0.670320034,1.49182475,0.671875,1.4921875
1,64,5,-0.72134757,0.606530607,1.64872134,0.60546875,1.6484375
1,64,6,-0.865617096,0.548811615,1.82211888,0.546875,1.8203125
1,64,7,-1.00988662,0.49658525,2.01375294,0.49609375,2.015625
1,64,8,-1.15415609,0.449328929,2.22554111,0.44921875,2.21875
1,64,9,-1.29842556,0.40656963,2.45960331,0.40625,2.453125
1,64,10,-1.44269502,0.36787945,2.71828175,0.3671875,2.71875
1,64,11,-1.58696449,0.332871079,3.00416589,0.33203125,3
1,64,12,-1.73123395,0.301194221,3.32011676,0.30078125,3.3125
1,64,13,-1.87550342,0.272531807,3.6692965,0.2734375,3.671875
1,64,14,-2.01977301,0.246596962,4.05519962,0.247070312,4.0625
