chunk,gate_case,seed,numeric_path,quantity,zero_count,lost_nonzero_count,inf_count,nan_count,first_bad_flat_index,first_bad_token_1based,finite_min,finite_max,max_abs_error,relative_l2_error,count
16,constant_0,0,fp64,prefix,16,0,0,0,,,0.0,0.0,0.0,0.0,16
16,constant_0,0,fp64,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp64,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp64,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,fp64,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,fp32,prefix,16,0,0,0,,,0.0,0.0,0.0,0.0,16
16,constant_0,0,fp32,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp32,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp32,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,fp32,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,fp32_bf16,prefix,16,0,0,0,,,0.0,0.0,0.0,0.0,16
16,constant_0,0,fp32_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp32_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,fp32_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,fp32_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,ftz_model_bf16,prefix,16,0,0,0,,,0.0,0.0,0.0,0.0,16
16,constant_0,0,ftz_model_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,ftz_model_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,16
16,constant_0,0,ftz_model_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,136
16,constant_0,0,ftz_model_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,136
32,constant_0,0,fp64,prefix,32,0,0,0,,,0.0,0.0,0.0,0.0,32
32,constant_0,0,fp64,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp64,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp64,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,fp64,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,fp32,prefix,32,0,0,0,,,0.0,0.0,0.0,0.0,32
32,constant_0,0,fp32,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp32,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp32,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,fp32,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,fp32_bf16,prefix,32,0,0,0,,,0.0,0.0,0.0,0.0,32
32,constant_0,0,fp32_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp32_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,fp32_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,fp32_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,ftz_model_bf16,prefix,32,0,0,0,,,0.0,0.0,0.0,0.0,32
32,constant_0,0,ftz_model_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,ftz_model_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,32
32,constant_0,0,ftz_model_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,528
32,constant_0,0,ftz_model_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,528
64,constant_0,0,fp64,prefix,64,0,0,0,,,0.0,0.0,0.0,0.0,64
64,constant_0,0,fp64,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp64,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp64,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,fp64,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,fp32,prefix,64,0,0,0,,,0.0,0.0,0.0,0.0,64
64,constant_0,0,fp32,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp32,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp32,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,fp32,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,fp32_bf16,prefix,64,0,0,0,,,0.0,0.0,0.0,0.0,64
64,constant_0,0,fp32_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp32_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,fp32_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,fp32_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,ftz_model_bf16,prefix,64,0,0,0,,,0.0,0.0,0.0,0.0,64
64,constant_0,0,ftz_model_bf16,decay,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,ftz_model_bf16,inverse,0,0,0,0,,,1.0,1.0,0.0,0.0,64
64,constant_0,0,ftz_model_bf16,direct,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
64,constant_0,0,ftz_model_bf16,factorized,0,0,0,0,,,1.0,1.0,0.0,0.0,2080
16,constant_-0.1,0,fp64,prefix,0,0,0,0,,,-1.6000000000000003,-0.1,0.0,0.0,16
16,constant_-0.1,0,fp64,decay,0,0,0,0,,,0.20189651799465536,0.9048374180359595,0.0,0.0,16
16,constant_-0.1,0,fp64,inverse,0,0,0,0,,,1.1051709180756477,4.953032424395117,0.0,0.0,16
16,constant_-0.1,0,fp64,direct,0,0,0,0,,,0.2231301601484298,1.0,0.0,0.0,136
16,constant_-0.1,0,fp64,factorized,0,0,0,0,,,0.2231301601484298,1.0000000000000002,2.220446049250313e-16,9.674480313158633e-17,136
16,constant_-0.1,0,fp32,prefix,0,0,0,0,,,-1.600000262260437,-0.10000000149011612,2.622604367008563e-07,1.3870496260833172e-07,16
16,constant_-0.1,0,fp32,decay,0,0,0,0,,,0.20189645886421204,0.904837429523468,5.913044331951056e-08,6.954939747540796e-08,16
16,constant_-0.1,0,fp32,inverse,0,0,0,0,,,1.1051709651947021,4.953033924102783,1.4997076664968745e-06,2.050759324285342e-07,16
16,constant_-0.1,0,fp32,direct,0,0,0,0,,,0.22313010692596436,1.0,9.453599908448851e-08,8.370480320448423e-08,136
16,constant_-0.1,0,fp32,factorized,0,0,0,0,,,0.22313010692596436,1.0000001192092896,1.1923995807405774e-07,8.511556815267978e-08,136
16,constant_-0.1,0,fp32_bf16,prefix,0,0,0,0,,,-1.600000262260437,-0.10000000149011612,2.622604367008563e-07,1.3870496260833172e-07,16
16,constant_-0.1,0,fp32_bf16,decay,0,0,0,0,,,0.2021484375,0.90625,0.0019366360940265004,0.0019639664396712544,16
16,constant_-0.1,0,fp32_bf16,inverse,0,0,0,0,,,1.1015625,4.9375,0.015532424395116706,0.002258562572777581,16
16,constant_-0.1,0,fp32_bf16,direct,0,0,0,0,,,0.22265625,1.0,0.0019366360940265004,0.0016790453569904085,136
16,constant_-0.1,0,fp32_bf16,factorized,0,0,0,0,,,0.22267913818359375,1.0040283203125,0.0050048828125,0.0028171305168039314,136
16,constant_-0.1,0,ftz_model_bf16,prefix,0,0,0,0,,,-1.5999999046325684,-0.10000000894069672,9.536743195148745e-08,5.081348901617763e-08,16
16,constant_-0.1,0,ftz_model_bf16,decay,0,0,0,0,,,0.2021484375,0.90625,0.0019366360940265004,0.0019639664396712544,16
16,constant_-0.1,0,ftz_model_bf16,inverse,0,0,0,0,,,1.1015625,4.9375,0.015532424395116706,0.002258562572777581,16
16,constant_-0.1,0,ftz_model_bf16,direct,0,0,0,0,,,0.22265625,1.0,0.0019366360940265004,0.0016790453569904085,136
16,constant_-0.1,0,ftz_model_bf16,factorized,0,0,0,0,,,0.22267913818359375,1.0040283203125,0.0050048828125,0.0028171305168039314,136
32,constant_-0.1,0,fp64,prefix,0,0,0,0,,,-3.2000000000000015,-0.1,0.0,0.0,32
32,constant_-0.1,0,fp64,decay,0,0,0,0,,,0.040762203978366156,0.9048374180359595,0.0,0.0,32
32,constant_-0.1,0,fp64,inverse,0,0,0,0,,,1.1051709180756477,24.532530197109384,0.0,0.0,32
32,constant_-0.1,0,fp64,direct,0,0,0,0,,,0.045049202393557745,1.0,0.0,0.0,528
32,constant_-0.1,0,fp64,factorized,0,0,0,0,,,0.045049202393557745,1.0000000000000002,2.220446049250313e-16,9.943321584337019e-17,528
32,constant_-0.1,0,fp32,prefix,0,0,0,0,,,-3.1999990940093994,-0.10000000149011612,9.059906020958408e-07,1.793734267386309e-07,32
32,constant_-0.1,0,fp32,decay,0,0,0,0,,,0.040762241929769516,0.904837429523468,5.913044331951056e-08,9.255125539951588e-08,32
32,constant_-0.1,0,fp32,inverse,0,0,0,0,,,1.1051709651947021,24.532508850097656,2.1347011728067855e-05,6.352443847406062e-07,32
32,constant_-0.1,0,fp32,direct,0,0,0,0,,,0.045049238950014114,1.0,3.575972002956007e-07,2.666365306949358e-07,528
32,constant_-0.1,0,fp32,factorized,0,0,0,0,,,0.04504924640059471,1.0000001192092896,3.823011594517034e-07,2.6912322682076685e-07,528
32,constant_-0.1,0,fp32_bf16,prefix,0,0,0,0,,,-3.1999990940093994,-0.10000000149011612,9.059906020958408e-07,1.793734267386309e-07,32
