gate_case,seed,numeric_path,token,gate,prefix,decay,inverse
constant_0,0,fp64,1,0.0,0.0,1.0,1.0
constant_0,0,fp64,2,0.0,0.0,1.0,1.0
constant_0,0,fp64,3,0.0,0.0,1.0,1.0
constant_0,0,fp64,4,0.0,0.0,1.0,1.0
constant_0,0,fp64,5,0.0,0.0,1.0,1.0
constant_0,0,fp64,6,0.0,0.0,1.0,1.0
constant_0,0,fp64,7,0.0,0.0,1.0,1.0
constant_0,0,fp64,8,0.0,0.0,1.0,1.0
constant_0,0,fp64,9,0.0,0.0,1.0,1.0
constant_0,0,fp64,10,0.0,0.0,1.0,1.0
constant_0,0,fp64,11,0.0,0.0,1.0,1.0
constant_0,0,fp64,12,0.0,0.0,1.0,1.0
constant_0,0,fp64,13,0.0,0.0,1.0,1.0
constant_0,0,fp64,14,0.0,0.0,1.0,1.0
constant_0,0,fp64,15,0.0,0.0,1.0,1.0
constant_0,0,fp64,16,0.0,0.0,1.0,1.0
constant_0,0,fp64,17,0.0,0.0,1.0,1.0
constant_0,0,fp64,18,0.0,0.0,1.0,1.0
constant_0,0,fp64,19,0.0,0.0,1.0,1.0
constant_0,0,fp64,20,0.0,0.0,1.0,1.0
constant_0,0,fp64,21,0.0,0.0,1.0,1.0
constant_0,0,fp64,22,0.0,0.0,1.0,1.0
constant_0,0,fp64,23,0.0,0.0,1.0,1.0
constant_0,0,fp64,24,0.0,0.0,1.0,1.0
constant_0,0,fp64,25,0.0,0.0,1.0,1.0
constant_0,0,fp64,26,0.0,0.0,1.0,1.0
constant_0,0,fp64,27,0.0,0.0,1.0,1.0
constant_0,0,fp64,28,0.0,0.0,1.0,1.0
constant_0,0,fp64,29,0.0,0.0,1.0,1.0
constant_0,0,fp64,30,0.0,0.0,1.0,1.0
constant_0,0,fp64,31,0.0,0.0,1.0,1.0
constant_0,0,fp64,32,0.0,0.0,1.0,1.0
constant_0,0,fp64,33,0.0,0.0,1.0,1.0
constant_0,0,fp64,34,0.0,0.0,1.0,1.0
constant_0,0,fp64,35,0.0,0.0,1.0,1.0
constant_0,0,fp64,36,0.0,0.0,1.0,1.0
constant_0,0,fp64,37,0.0,0.0,1.0,1.0
constant_0,0,fp64,38,0.0,0.0,1.0,1.0
