case,heads,sequences,seq_lens,isolated_output_exact,isolated_state_exact
equal_n1,12,1,[8192],True,True
equal_n2,12,2,"[4096, 4096]",True,True
equal_n4,12,4,"[2048, 2048, 2048, 2048]",True,True
equal_n8,12,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n16,12,16,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",True,True
skew8,12,8,"[4608, 512, 512, 512, 512, 512, 512, 512]",True,True
ragged6,12,6,"[1300, 547, 2048, 963, 271, 3063]",True,True
equal8_varlen,12,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n1,24,1,[8192],True,True
equal_n2,24,2,"[4096, 4096]",True,True
equal_n4,24,4,"[2048, 2048, 2048, 2048]",True,True
equal_n8,24,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n16,24,16,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",True,True
skew8,24,8,"[4608, 512, 512, 512, 512, 512, 512, 512]",True,True
ragged6,24,6,"[1300, 547, 2048, 963, 271, 3063]",True,True
equal8_varlen,24,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n1,48,1,[8192],True,True
equal_n2,48,2,"[4096, 4096]",True,True
equal_n4,48,4,"[2048, 2048, 2048, 2048]",True,True
equal_n8,48,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n16,48,16,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",True,True
skew8,48,8,"[4608, 512, 512, 512, 512, 512, 512, 512]",True,True
ragged6,48,6,"[1300, 547, 2048, 963, 271, 3063]",True,True
equal8_varlen,48,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n1,96,1,[8192],True,True
equal_n2,96,2,"[4096, 4096]",True,True
equal_n4,96,4,"[2048, 2048, 2048, 2048]",True,True
equal_n8,96,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
equal_n16,96,16,"[512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512, 512]",True,True
skew8,96,8,"[4608, 512, 512, 512, 512, 512, 512, 512]",True,True
ragged6,96,6,"[1300, 547, 2048, 963, 271, 3063]",True,True
equal8_varlen,96,8,"[1024, 1024, 1024, 1024, 1024, 1024, 1024, 1024]",True,True
length128,12,1,[128],True,True
length512,12,1,[512],True,True
length2048,12,1,[2048],True,True
