timestamp, uuid, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/10 14:46:30.865, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 191.76 W, 38
2026/09/10 14:46:31.079, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 200.19 W, 39
2026/09/10 14:46:31.279, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 212.41 W, 39
2026/09/10 14:46:31.479, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 236.39 W, 40
2026/09/10 14:46:31.679, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 270.42 W, 41
2026/09/10 14:46:31.879, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 297.92 W, 41
2026/09/10 14:46:32.080, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 341.11 W, 42
2026/09/10 14:46:32.280, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 390.00 W, 43
2026/09/10 14:46:32.480, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 483.88 W, 46
2026/09/10 14:46:32.680, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 499.65 W, 45
2026/09/10 14:46:32.880, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 521.31 W, 45
2026/09/10 14:46:33.080, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 558.81 W, 46
2026/09/10 14:46:33.280, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 548.59 W, 45
2026/09/10 14:46:33.480, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 485.61 W, 45
2026/09/10 14:46:33.680, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 492.82 W, 45
2026/09/10 14:46:33.880, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 525.86 W, 46
2026/09/10 14:46:34.080, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 556.45 W, 49
2026/09/10 14:46:34.281, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 646.43 W, 51
2026/09/10 14:46:34.481, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 697.61 W, 50
2026/09/10 14:46:34.681, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 703.32 W, 48
2026/09/10 14:46:34.881, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 700.27 W, 48
2026/09/10 14:46:35.081, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 693.41 W, 49
2026/09/10 14:46:35.281, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 652.86 W, 50
2026/09/10 14:46:35.481, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 628.00 W, 49
2026/09/10 14:46:35.681, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 659.21 W, 49
2026/09/10 14:46:35.881, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 692.86 W, 50
2026/09/10 14:46:36.081, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 711.54 W, 51
2026/09/10 14:46:36.281, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 688.40 W, 49
2026/09/10 14:46:36.482, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 764.60 W, 53
2026/09/10 14:46:36.682, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 841.49 W, 54
2026/09/10 14:46:36.882, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2002 MHz, 3996 MHz, 909.91 W, 55
2026/09/10 14:46:37.082, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 901.49 W, 52
2026/09/10 14:46:37.282, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 910.65 W, 51
2026/09/10 14:46:37.482, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 857.18 W, 50
2026/09/10 14:46:37.682, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 815.54 W, 51
2026/09/10 14:46:37.882, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 787.66 W, 53
2026/09/10 14:46:38.082, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 814.43 W, 54
2026/09/10 14:46:38.282, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 864.42 W, 52
2026/09/10 14:46:38.482, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 887.80 W, 53
2026/09/10 14:46:38.683, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 892.06 W, 53
2026/09/10 14:46:38.883, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 914.04 W, 55
2026/09/10 14:46:39.083, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 931.20 W, 55
2026/09/10 14:46:39.283, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 962.44 W, 55
2026/09/10 14:46:39.483, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2025 MHz, 3996 MHz, 1009.42 W, 56
2026/09/10 14:46:39.683, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2025 MHz, 3996 MHz, 1048.84 W, 56
2026/09/10 14:46:39.883, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 1957 MHz, 3996 MHz, 1065.88 W, 57
2026/09/10 14:46:40.083, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 1987 MHz, 3996 MHz, 1077.30 W, 57
2026/09/10 14:46:40.283, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 1972 MHz, 3996 MHz, 1086.33 W, 57
2026/09/10 14:46:40.483, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 1950 MHz, 3996 MHz, 1087.03 W, 57
2026/09/10 14:46:40.683, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 1055.31 W, 56
2026/09/10 14:46:40.884, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 1015.73 W, 56
2026/09/10 14:46:41.084, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 978.03 W, 55
2026/09/10 14:46:41.284, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 933.36 W, 54
2026/09/10 14:46:41.484, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 918.91 W, 56
2026/09/10 14:46:41.684, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2032 MHz, 3996 MHz, 928.71 W, 56
2026/09/10 14:46:41.884, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2025 MHz, 3996 MHz, 895.72 W, 51
2026/09/10 14:46:42.084, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2025 MHz, 3996 MHz, 942.52 W, 57
2026/09/10 14:46:42.284, GPU-ab0e8f8b-abe0-a03f-c8e9-65622211a5f4, 2010 MHz, 3996 MHz, 959.15 W, 57
