case,heads,sequences,tasks,slots,total_chunk_heads,critical_path_chunks,lower_bound,fifo,longest_first,static_round_robin
equal_n1,12,1,12,148,6144,512,512,512,512,512
equal_n1,12,1,12,296,6144,512,512,512,512,512
equal_n2,12,2,24,148,6144,256,256,256,256,256
equal_n2,12,2,24,296,6144,256,256,256,256,256
equal_n4,12,4,48,148,6144,128,128,128,128,128
equal_n4,12,4,48,296,6144,128,128,128,128,128
equal_n8,12,8,96,148,6144,64,64,64,64,64
equal_n8,12,8,96,296,6144,64,64,64,64,64
equal_n16,12,16,192,148,6144,32,41.513513513513516,64,64,64
equal_n16,12,16,192,296,6144,32,32,32,32,32
skew8,12,8,96,148,6144,288,288,288,288,288
skew8,12,8,96,296,6144,288,288,288,288,288
ragged6,12,6,72,148,6180,192,192,192,192,192
ragged6,12,6,72,296,6180,192,192,192,192,192
equal8_varlen,12,8,96,148,6144,64,64,64,64,64
equal8_varlen,12,8,96,296,6144,64,64,64,64,64
equal_n1,24,1,24,148,12288,512,512,512,512,512
equal_n1,24,1,24,296,12288,512,512,512,512,512
equal_n2,24,2,48,148,12288,256,256,256,256,256
equal_n2,24,2,48,296,12288,256,256,256,256,256
equal_n4,24,4,96,148,12288,128,128,128,128,128
equal_n4,24,4,96,296,12288,128,128,128,128,128
equal_n8,24,8,192,148,12288,64,83.02702702702703,128,128,128
equal_n8,24,8,192,296,12288,64,64,64,64,64
equal_n16,24,16,384,148,12288,32,83.02702702702703,96,96,96
equal_n16,24,16,384,296,12288,32,41.513513513513516,64,64,64
skew8,24,8,192,148,12288,288,288,320,288,320
skew8,24,8,192,296,12288,288,288,288,288,288
ragged6,24,6,144,148,12360,192,192,192,192,192
ragged6,24,6,144,296,12360,192,192,192,192,192
equal8_varlen,24,8,192,148,12288,64,83.02702702702703,128,128,128
equal8_varlen,24,8,192,296,12288,64,64,64,64,64
equal_n1,48,1,48,148,24576,512,512,512,512,512
equal_n1,48,1,48,296,24576,512,512,512,512,512
equal_n2,48,2,96,148,24576,256,256,256,256,256
equal_n2,48,2,96,296,24576,256,256,256,256,256
equal_n4,48,4,192,148,24576,128,166.05405405405406,256,256,256
equal_n4,48,4,192,296,24576,128,128,128,128,128
equal_n8,48,8,384,148,24576,64,166.05405405405406,192,192,192
equal_n8,48,8,384,296,24576,64,83.02702702702703,128,128,128
equal_n16,48,16,768,148,24576,32,166.05405405405406,192,192,192
equal_n16,48,16,768,296,24576,32,83.02702702702703,96,96,96
skew8,48,8,384,148,24576,288,288,352,288,608
skew8,48,8,384,296,24576,288,288,320,288,576
ragged6,48,6,288,148,24720,192,192,291,192,253
ragged6,48,6,288,296,24720,192,192,192,192,192
equal8_varlen,48,8,384,148,24576,64,166.05405405405406,192,192,192
equal8_varlen,48,8,384,296,24576,64,83.02702702702703,128,128,128
equal_n1,96,1,96,148,49152,512,512,512,512,512
equal_n1,96,1,96,296,49152,512,512,512,512,512
equal_n2,96,2,192,148,49152,256,332.1081081081081,512,512,512
equal_n2,96,2,192,296,49152,256,256,256,256,256
equal_n4,96,4,384,148,49152,128,332.1081081081081,384,384,384
equal_n4,96,4,384,296,49152,128,166.05405405405406,256,256,256
equal_n8,96,8,768,148,49152,64,332.1081081081081,384,384,384
equal_n8,96,8,768,296,49152,64,166.05405405405406,192,192,192
equal_n16,96,16,1536,148,49152,32,332.1081081081081,352,352,352
equal_n16,96,16,1536,296,49152,32,166.05405405405406,192,192,192
skew8,96,8,768,148,49152,288,332.1081081081081,512,352,960
skew8,96,8,768,296,49152,288,288,352,288,864
ragged6,96,6,576,148,49440,192,334.05405405405406,463,344,480
ragged6,96,6,576,296,49440,192,192,291,192,253
equal8_varlen,96,8,768,148,49152,64,332.1081081081081,384,384,384
equal8_varlen,96,8,768,296,49152,64,166.05405405405406,192,192,192
length128,12,1,12,148,96,8,8,8,8,8
length128,12,1,12,296,96,8,8,8,8,8
length512,12,1,12,148,384,32,32,32,32,32
length512,12,1,12,296,384,32,32,32,32,32
length2048,12,1,12,148,1536,128,128,128,128,128
length2048,12,1,12,296,1536,128,128,128,128,128
