case,test,output_exact,state_exact,output_relative,state_relative
nominal_256,fp32_api_vs_bf16_api,True,True,0.0,0.0
nominal_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
nominal_8192,stream_256,True,True,0.0,0.0
nominal_8192,stream_1024,True,True,0.0,0.0
nominal_8192,stream_17,False,False,0.006121740099456482,0.004991114267494225
nominal_65536,fp32_api_vs_bf16_api,True,True,0.0,0.0
weak_256,fp32_api_vs_bf16_api,True,True,0.0,0.0
weak_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
weak_8192,stream_256,True,True,0.0,0.0
weak_8192,stream_1024,True,True,0.0,0.0
weak_8192,stream_17,False,False,0.009873361994618269,0.009008616264214524
weak_65536,fp32_api_vs_bf16_api,True,True,0.0,0.0
near_identity_256,fp32_api_vs_bf16_api,True,True,0.0,0.0
near_identity_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
near_identity_8192,stream_256,True,True,0.0,0.0
near_identity_8192,stream_1024,True,True,0.0,0.0
near_identity_8192,stream_17,False,False,0.027631739550888667,0.033592795792306965
near_identity_65536,fp32_api_vs_bf16_api,True,True,0.0,0.0
nonzero_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
nonzero_8192,stream_256,True,True,0.0,0.0
nonzero_8192,stream_1024,True,True,0.0,0.0
nonzero_8192,stream_17,False,False,0.006121706993544838,0.004991114267494225
correlated_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
correlated_8192,stream_256,True,True,0.0,0.0
correlated_8192,stream_1024,True,True,0.0,0.0
correlated_8192,stream_17,False,False,1.3267732149842912,1.0896284211757188
dynamic_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
dynamic_8192,stream_256,True,True,0.0,0.0
dynamic_8192,stream_1024,True,True,0.0,0.0
dynamic_8192,stream_17,False,False,0.009097014105556281,0.00844621417547254
retention_256,fp32_api_vs_bf16_api,True,True,0.0,0.0
retention_8192,fp32_api_vs_bf16_api,True,True,0.0,0.0
retention_8192,stream_256,True,True,0.0,0.0
retention_8192,stream_1024,True,True,0.0,0.0
retention_8192,stream_17,True,True,0.0,0.0
retention_65536,fp32_api_vs_bf16_api,True,True,0.0,0.0
retention_65536,stream_256,True,True,0.0,0.0
retention_65536,stream_1024,True,True,0.0,0.0
retention_65536,stream_17,True,True,0.0,0.0
varlen,fp32_api_vs_bf16_api,True,True,0.0,0.0
varlen,varlen_seq_0,True,True,0.0,0.0
varlen,varlen_seq_1,True,True,0.0,0.0
varlen,varlen_seq_2,True,True,0.0,0.0
varlen,varlen_seq_3,True,True,0.0,0.0
varlen,varlen_seq_4,True,True,0.0,0.0
varlen,varlen_seq_5,True,True,0.0,0.0
varlen,varlen_seq_6,True,True,0.0,0.0
