pattern,beta_logit,seed,output_relative,output_max_abs,inverse_relative,inverse_residual,lower_power8_norm,state_rounding_output_relative,finite
weak,-4.0,0,0.0062976293035544,1.3841879576178932e-05,1.637480108968796e-05,1.6381173024517783e-05,1.1279293550480464e-21,0.0,True
weak,-4.0,1,0.006998099884960355,1.6793119691032015e-05,1.9363008117856658e-05,1.937485025206398e-05,4.628219179343288e-21,0.0,True
weak,-4.0,2,0.006045479565295501,1.2976990667295423e-05,2.01682492068724e-05,2.0178294804723767e-05,2.3254688263283325e-21,0.0,True
weak,0.0,0,0.005108976171090278,0.0003688637823413901,0.0004115351882210427,0.0004147890592224874,4.02276500561926e-10,0.0,True
weak,0.0,1,0.005867321314021084,0.0003626483763051122,0.0005825893552514361,0.0005993250659448857,1.650656405888557e-09,0.0,True
weak,0.0,2,0.005224698113239958,0.0002934639991907656,0.0005318862103472662,0.0005417757826465426,8.293794796938873e-10,0.0,True
weak,4.0,0,0.005853134519692831,0.0007145749285230735,0.0008926151134136479,0.0009164492821354519,8.906464075153561e-08,0.0,True
weak,4.0,1,0.006615959394075704,0.0006994300827459776,0.0010790443136750392,0.001150953941108328,3.6545788677520307e-07,0.0,True
weak,4.0,2,0.005747516725776074,0.000703435128256491,0.001004940108480118,0.0010409514516469271,1.836259023394293e-07,0.0,True
correlated,-4.0,0,0.0053004498351903705,0.00010593481822410156,0.00014974515157275474,0.00015512373659032084,4.784960542603332e-11,0.0,True
correlated,-4.0,1,0.00511251750395806,0.0001395712479336942,0.00014856092454029374,0.00015356535489612723,4.784753533062555e-11,0.0,True
correlated,-4.0,2,0.00515432461005463,0.0001026085789363404,0.00016713993828551432,0.00017503596456415777,4.785278378739579e-11,0.0,True
correlated,0.0,0,0.008208621400635847,0.0023187286394393374,0.003481623724841392,0.00541836748128876,17.065582820329816,0.0,True
correlated,0.0,1,0.00949320808304723,0.0031296507586030184,0.0061631050025762815,0.0076100157187096494,17.064844519892166,0.0,True
correlated,0.0,2,0.007753780009637824,0.0025042764011912882,0.004453510389090876,0.0059069904640703845,17.066716384307643,0.0,True
correlated,4.0,0,0.11234621180374443,0.07399792233085889,0.07662546155125388,0.11460299485073845,3778.3464880128504,0.0,True
correlated,4.0,1,0.25413742703473785,0.2074520813454393,0.23953724605891857,0.25967458453589587,3778.1830271515923,0.0,True
correlated,4.0,2,0.13038147784572487,0.07177366378093045,0.09024471043088354,0.1237083742450414,3778.5974608345623,0.0,True
