seed,length,output_relative,state_relative
0,1,2.0396749994304098e-07,5.4803428761775285e-08
0,15,2.3339877746201443e-07,1.2130235240492846e-07
0,16,2.2675591796803352e-07,1.2418373525228017e-07
0,17,2.40700832161174e-07,1.2239058596172137e-07
0,33,2.4665802885905664e-07,1.3044363800317263e-07
1,1,2.2040543403713245e-07,5.205288871379862e-08
1,15,2.4306681491807503e-07,1.2000975237990299e-07
1,16,2.379120171966836e-07,1.3187729175845978e-07
1,17,2.3007845898144887e-07,1.3086826403801797e-07
1,33,2.4076352455817805e-07,1.323727074608855e-07
2,1,2.0864576449877254e-07,5.061061764372975e-08
2,15,2.166664669639462e-07,1.231433582659241e-07
2,16,2.4384220013762293e-07,1.2125862907444466e-07
2,17,2.3294175388827702e-07,1.232564593913981e-07
2,33,2.4623743209747424e-07,1.3367624047714468e-07
