case,pattern,length,sequence,seed,position,method,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative,within_2pct
nominal_256,nominal,256,0,0,16,official,True,0.019424679212929254,9.406901406085057e-05,0.004842757660483645,0.0010357153030061267,0.00041237260750937157,0.006913540946113905,True
nominal_256,nominal,256,0,1,16,official,True,0.042697800369988485,0.00019307439256110933,0.004521881476049474,0.00347299871426332,0.0007893294520061852,0.00879965006532137,True
nominal_256,nominal,256,0,2,16,official,True,0.04843073842292626,0.00023364387805411955,0.004824288987993556,0.0022457491236253235,0.0009725290396418696,0.00774594837276806,True
nominal_256,nominal,256,0,0,16,bf16_checkpoint,True,0.019424679212929254,3.218774019436579e-05,0.0016570538870439272,0.0004616095077708826,0.00011764823662308523,0.0021220233580885755,True
nominal_256,nominal,256,0,1,16,bf16_checkpoint,True,0.042697800369988485,7.285240605069703e-05,0.0017062332349538003,0.00183709661783793,0.0002673989914294554,0.002398345742594679,True
nominal_256,nominal,256,0,2,16,bf16_checkpoint,True,0.04843073842292626,7.976032959518041e-05,0.0016468947654414304,0.000956807772152013,0.00031712490659987884,0.002001611126326572,True
nominal_256,nominal,256,0,0,16,fp32_checkpoint,True,0.019424679212929254,4.900676114347672e-10,2.52291225025005e-08,5.610477277206982e-09,1.81459933440431e-09,3.278741027289985e-08,True
nominal_256,nominal,256,0,1,16,fp32_checkpoint,True,0.042697800369988485,1.0893022368149032e-09,2.55119052357684e-08,2.1861215615537333e-08,4.0153742969506476e-09,3.81909359814677e-08,True
nominal_256,nominal,256,0,2,16,fp32_checkpoint,True,0.04843073842292626,1.2291529638109104e-09,2.537960402497293e-08,1.440320168688558e-08,5.210608159944564e-09,3.0749054447846877e-08,True
nominal_256,nominal,256,0,0,64,official,True,0.029662686170262575,0.00013658483133017934,0.004604600896432243,0.0018559834730036973,0.000566954367085155,0.007242819179655942,True
nominal_256,nominal,256,0,1,64,official,True,0.02644355976518939,0.00015372297694766037,0.005813248228024999,0.0018842000597964481,0.0006267161819363403,0.010015289037754048,True
nominal_256,nominal,256,0,2,64,official,True,0.06357908322600166,0.00030782985041609103,0.004841684321270604,0.0033926791028072167,0.001347259436688571,0.008333423278055667,True
nominal_256,nominal,256,0,0,64,bf16_checkpoint,True,0.029662686170262575,5.015323008771446e-05,0.0016907851770347777,0.0004819108495815183,0.0002131612673117654,0.002114814781001207,True
