case,sequence,seed,method,start,end,finite,ref_rms,rmse,relative_l2,max_abs,p99_abs,worst_channel_relative
nominal_256,0,0,official,0,256,True,0.004606330792842352,2.6437689029240275e-05,0.005739424765221173,0.00041458320650123587,0.00010490588668297174,0.008334406646594975
nominal_256,0,1,official,0,256,True,0.00445871117722363,2.465755648261431e-05,0.005530198190134439,0.00027011829917553826,9.45046427049238e-05,0.0073140590727249774
nominal_256,0,2,official,0,256,True,0.004889496629885225,2.6182075963012767e-05,0.005354758975184601,0.0004110503938099738,0.00010416083425745121,0.006897569954816534
nominal_256,0,0,bf16_checkpoint,0,256,True,0.004606330792842352,3.2914538313940467e-07,7.145500354660904e-05,9.851142725452507e-06,1.4194329939845674e-06,0.00015654349892089023
nominal_256,0,1,bf16_checkpoint,0,256,True,0.00445871117722363,3.4371447191118915e-07,7.708830158521611e-05,8.154179136062555e-06,1.5480456089929266e-06,0.0001325888600781691
nominal_256,0,2,bf16_checkpoint,0,256,True,0.004889496629885225,4.004258110001869e-07,8.18950990890828e-05,1.5083398822863994e-05,1.7425561085644126e-06,0.000185978958290436
nominal_256,0,0,fp32_checkpoint,0,256,True,0.004606330792842352,4.948700377403336e-12,1.0743258788736976e-09,1.575569158647483e-10,2.2794408979700324e-11,2.3257819838986713e-09
nominal_256,0,1,fp32_checkpoint,0,256,True,0.00445871117722363,5.41724100274435e-12,1.2149791245544596e-09,2.3417932176750256e-10,2.3028012710677567e-11,3.1656833976961544e-09
nominal_256,0,2,fp32_checkpoint,0,256,True,0.004889496629885225,6.644563950424979e-12,1.3589464219716523e-09,2.4114043574441357e-10,2.5757761128002125e-11,3.270624454612785e-09
nominal_256,0,0,output_rounding_floor,0,256,True,0.004606330792842352,7.640007246337575e-06,0.001658588492647807,0.00011421820476600203,2.9184122831736553e-05,0.0022182410125804537
nominal_256,0,1,output_rounding_floor,0,256,True,0.00445871117722363,7.455945216444439e-06,0.0016722198231927507,0.00011916173467515362,2.9057315450872258e-05,0.0022290278589656605
nominal_256,0,2,output_rounding_floor,0,256,True,0.004889496629885225,8.078037258910177e-06,0.0016521204267809873,0.00011567910785395541,3.138907918614391e-05,0.002068650878675085
nominal_8192,0,0,official,0,256,True,0.004223404871098448,2.4084014459979114e-05,0.00570251140845874,0.00027163614965734426,9.094719838774462e-05,0.007482187238566259
nominal_8192,0,0,official,256,512,True,0.004510933410691995,2.653815756773547e-05,0.005883074554998676,0.0003084266818327748,0.00010219755328779206,0.007915487147898278
nominal_8192,0,0,official,512,768,True,0.004172495799622681,2.5191200886038584e-05,0.006037441880304979,0.0003243911717837264,0.00010003441006599104,0.00790119221163787
nominal_8192,0,0,official,768,1024,True,0.004481716825336373,2.6534958690543347e-05,0.005920712915312711,0.00048153187225297156,0.00010883202224080672,0.007363901002303483
nominal_8192,0,0,official,1024,1280,True,0.003851775290928306,2.38010962242134e-05,0.006179253571793167,0.0003218170369963108,9.176466564423045e-05,0.007650543322315511
nominal_8192,0,0,official,1280,1536,True,0.004145196110581461,2.4836431420899064e-05,0.0059916179496306565,0.00037753823599855074,9.46370748482278e-05,0.00836003231181921
nominal_8192,0,0,official,1536,1792,True,0.004654268543111508,2.6968406928798478e-05,0.005794338396892189,0.0004654217690787943,0.00010341202240224384,0.007889814695667392
nominal_8192,0,0,official,1792,2048,True,0.0038529279792369167,2.3910305124334537e-05,0.006205749303694496,0.000332997571958267,9.239675315774487e-05,0.00782664044914021
nominal_8192,0,0,official,2048,2304,True,0.003919820847569478,2.2710267944541332e-05,0.0057937004847104295,0.00029669001369122747,8.793403039466088e-05,0.007320791869835492
nominal_8192,0,0,official,2304,2560,True,0.0045169358304264435,2.4545229364289822e-05,0.005434044291475469,0.0003213667824126642,9.654969184743672e-05,0.007759343677091247
nominal_8192,0,0,official,2560,2816,True,0.00407606609633927,2.2688279144392944e-05,0.005566219636322722,0.00030096212650779566,8.901109611979267e-05,0.007078287180124481
nominal_8192,0,0,official,2816,3072,True,0.004308320232769704,2.350498755145425e-05,0.005455719696198981,0.0002936772206691973,8.816210544128527e-05,0.007119319960218254
nominal_8192,0,0,official,3072,3328,True,0.004154002573229644,2.503147694163838e-05,0.006025869387504247,0.0002827233795543796,9.735921574263684e-05,0.008113475163585338
nominal_8192,0,0,official,3328,3584,True,0.004877854088941075,2.5669807415874805e-05,0.005262520556749048,0.0003612869880095654,0.00010467217948330213,0.006990717179695244
nominal_8192,0,0,official,3584,3840,True,0.004715227608484483,2.3728766962904103e-05,0.005032369364356251,0.00031029856973040226,9.35632878228766e-05,0.006350647393291335
nominal_8192,0,0,official,3840,4096,True,0.004391622825438565,2.5133898560064075e-05,0.005723145989331199,0.00030939864600558475,9.651348051821861e-05,0.007546409248544233
nominal_8192,0,0,official,4096,4352,True,0.0038738466911289625,2.3088191759417105e-05,0.005960016903169823,0.0002598614979213848,8.500141607583602e-05,0.007835559260240049
nominal_8192,0,0,official,4352,4608,True,0.004290977423953939,2.5073682732881215e-05,0.0058433499540011475,0.00028969786330828445,9.928646221778266e-05,0.008046066001459037
nominal_8192,0,0,official,4608,4864,True,0.004026712125126219,2.2818889713773796e-05,0.005666878834319085,0.0002389506456910856,8.702888089046908e-05,0.007031510976323162
nominal_8192,0,0,official,4864,5120,True,0.00448406747941663,2.5071170991386345e-05,0.005591167195068185,0.0002907155191657282,9.507595660626678e-05,0.007130574011205538
nominal_8192,0,0,official,5120,5376,True,0.004102237741309617,2.4701556261338267e-05,0.006021483351048404,0.0003446714009544549,9.343371967044554e-05,0.007586012434142887
nominal_8192,0,0,official,5376,5632,True,0.004079639054798992,2.2939587894687686e-05,0.005622945458300586,0.0003505195611367591,8.778645356319423e-05,0.007901829300947202
nominal_8192,0,0,official,5632,5888,True,0.004620708549977436,2.5914464563438655e-05,0.005608331337748017,0.0005491238377347343,9.793174163323685e-05,0.009131005269109767
nominal_8192,0,0,official,5888,6144,True,0.004536442381652594,2.7025224003021335e-05,0.005957360797157581,0.0004571099138147641,0.0001078569262945824,0.007941157122425362
nominal_8192,0,0,official,6144,6400,True,0.003948986641585286,2.293903257364556e-05,0.0058088402558983815,0.00031316009455591154,8.718657933062702e-05,0.007314507352010211
nominal_8192,0,0,official,6400,6656,True,0.00407599305001345,2.3302759747800938e-05,0.005717075437045714,0.00029356469338751717,9.117498706799295e-05,0.007099821227314509
nominal_8192,0,0,official,6656,6912,True,0.004271877959026672,2.5068776919241934e-05,0.005868327035483416,0.00027665196159787353,9.590524662525727e-05,0.0071892192467725765
nominal_8192,0,0,official,6912,7168,True,0.004278757996137674,2.3495044872810398e-05,0.005491089913011854,0.0002816926838777947,9.374718334757427e-05,0.006747962471088018
nominal_8192,0,0,official,7168,7424,True,0.004227424376500773,2.424307223382911e-05,0.005734714586165153,0.0003724453891675479,9.007517103125385e-05,0.007194314990274095
nominal_8192,0,0,official,7424,7680,True,0.004292352623023404,2.4340151806326228e-05,0.005670585327908535,0.00033042885397098487,9.550143366430137e-05,0.007345580992578418
nominal_8192,0,0,official,7680,7936,True,0.004509675027144068,2.4315746958314253e-05,0.0053919066921576326,0.0002705892938692153,9.14868479228524e-05,0.007046639747380677
nominal_8192,0,0,official,7936,8192,True,0.004099403088263625,2.4843134928061297e-05,0.006060183493344648,0.0003747474007356963,9.683861143578481e-05,0.0074511971244538506
nominal_8192,0,1,official,0,256,True,0.004077822546439057,2.3526513901609548e-05,0.005769381485752485,0.0004676831093095579,8.688904379292193e-05,0.008352789420737538
nominal_8192,0,1,official,256,512,True,0.004391720351136915,2.4682052928752363e-05,0.005620133103958395,0.0003482595690151337,0.0001008615110125367,0.007674091191402221
nominal_8192,0,1,official,512,768,True,0.004466808524873393,2.628316577781385e-05,0.005884103970755903,0.0002966872688376643,0.00010425127569160449,0.007135964910442853
nominal_8192,0,1,official,768,1024,True,0.004199821722706758,2.457705478204342e-05,0.005851928106653934,0.0003870418948330942,9.690534993322169e-05,0.007593941365342067
nominal_8192,0,1,official,1024,1280,True,0.003904241060007868,2.3592832786094398e-05,0.006042872974151564,0.00032048172391078295,8.909785536582196e-05,0.007832109976872887
nominal_8192,0,1,official,1280,1536,True,0.004371329834185026,2.2508804040440038e-05,0.005149189124191653,0.0002537204875708021,8.32486298510797e-05,0.006657780201745497
nominal_8192,0,1,official,1536,1792,True,0.00427927197374567,2.4690623406180603e-05,0.0057698186882402715,0.0002929199280377534,9.389702973700439e-05,0.007439648559267437
nominal_8192,0,1,official,1792,2048,True,0.003950269826390021,2.4717014938939118e-05,0.00625704471472191,0.00028606705668300647,9.444532206761965e-05,0.008001004178562816
nominal_8192,0,1,official,2048,2304,True,0.004299808789232686,2.5596052967660382e-05,0.005952835166009342,0.0003264794548500198,0.00010209504901539028,0.00800817024143738
nominal_8192,0,1,official,2304,2560,True,0.004809436307879001,2.708149685707951e-05,0.005630908722652918,0.0002934780988560412,0.00010595905477669835,0.007450479213617599
nominal_8192,0,1,official,2560,2816,True,0.0045170716156377345,2.484272254776131e-05,0.005499740686368095,0.0003464522819180346,9.635992153302631e-05,0.007040555437756589
nominal_8192,0,1,official,2816,3072,True,0.004181455289048503,2.39859478245978e-05,0.0057362679178750335,0.00025371283138281644,9.288443624217471e-05,0.0069266803479288925
nominal_8192,0,1,official,3072,3328,True,0.004207306231743232,2.5393056689103392e-05,0.0060354667073003075,0.0003524849194364993,9.831390955037457e-05,0.00803509829362182
nominal_8192,0,1,official,3328,3584,True,0.0042741618657769105,2.4143114637155094e-05,0.005648619634756538,0.00039039328625377345,9.079252275017662e-05,0.007083505353436272
nominal_8192,0,1,official,3584,3840,True,0.0037127302678021685,2.193609659599622e-05,0.005908346422640008,0.0003298323730054273,8.334836855852752e-05,0.00781141758463717
nominal_8192,0,1,official,3840,4096,True,0.004408284177941789,2.5618800144354817e-05,0.005811512849499674,0.0003743657390493371,9.869239482342356e-05,0.0076890577623895204
nominal_8192,0,1,official,4096,4352,True,0.004453611098672996,2.57266987965615e-05,0.005776593022284111,0.0003284744942547331,0.00010155430397249531,0.007171137178110568
nominal_8192,0,1,official,4352,4608,True,0.003863365184514391,2.2121699440522462e-05,0.005726018220900613,0.00029284288153885035,8.342951253399931e-05,0.00695234021446128
nominal_8192,0,1,official,4608,4864,True,0.004555281192432643,2.5241403722705363e-05,0.005541129659489972,0.00025245491332408915,9.585096497958017e-05,0.007572253697532466
nominal_8192,0,1,official,4864,5120,True,0.0046382199378718425,2.510437142369436e-05,0.005412501295747742,0.00041972637940358715,9.768110188223902e-05,0.006998545143321452
nominal_8192,0,1,official,5120,5376,True,0.004092241396533306,2.410748157091262e-05,0.005891021382886891,0.00031946319070154383,9.076988709323447e-05,0.007464120255323614
nominal_8192,0,1,official,5376,5632,True,0.004229766929518835,2.464577707266307e-05,0.005826745890101962,0.00032997604602451325,9.470217637178759e-05,0.007869437784181858
nominal_8192,0,1,official,5632,5888,True,0.004651940600489047,2.5330547587136228e-05,0.005445157142477978,0.0003886448870724507,9.700425230243336e-05,0.006780126091721771
nominal_8192,0,1,official,5888,6144,True,0.003936460073110398,2.233873146919427e-05,0.005674827396774101,0.0002661275591502657,8.798166773456313e-05,0.007151656755590828
nominal_8192,0,1,official,6144,6400,True,0.004412282368269933,2.6226737787036227e-05,0.0059440297782482575,0.0003144437897715721,0.00010139472568861392,0.007756122184883497
nominal_8192,0,1,official,6400,6656,True,0.00438137309602156,2.6293947359935742e-05,0.0060013029668282685,0.0003371804723625374,0.0001037198425113667,0.007542210417075163
nominal_8192,0,1,official,6656,6912,True,0.0045042482827337615,2.6300345118587177e-05,0.005839008746343956,0.00038200394077658045,0.00010092090008040538,0.007635394016318007
