shape,method,seed,case,batch,repeats,relative_error,max_abs_error,exact
gram,sm80_w1,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,sm80_w4,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,sm80_w8,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,sm80_pad_w4,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,sm80_transpose_w4,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,tc_direct,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,tc_transpose,0,random,8,1,1.2230388312715921e-07,9.000301361083984e-06,False
gram,sm80_w1,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,sm80_w4,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,sm80_w8,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,sm80_pad_w4,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,sm80_transpose_w4,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,tc_direct,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,tc_transpose,0,random,8,32,4.466340459243244e-06,0.0070018768310546875,False
gram,sm80_w1,0,integer,8,1,0.0,0.0,True
gram,sm80_w4,0,integer,8,1,0.0,0.0,True
gram,sm80_w8,0,integer,8,1,0.0,0.0,True
gram,sm80_pad_w4,0,integer,8,1,0.0,0.0,True
gram,sm80_transpose_w4,0,integer,8,1,0.0,0.0,True
gram,tc_direct,0,integer,8,1,0.0,0.0,True
gram,tc_transpose,0,integer,8,1,0.0,0.0,True
gram,sm80_w1,0,integer,8,32,0.0,0.0,True
gram,sm80_w4,0,integer,8,32,0.0,0.0,True
gram,sm80_w8,0,integer,8,32,0.0,0.0,True
gram,sm80_pad_w4,0,integer,8,32,0.0,0.0,True
gram,sm80_transpose_w4,0,integer,8,32,0.0,0.0,True
gram,tc_direct,0,integer,8,32,0.0,0.0,True
gram,tc_transpose,0,integer,8,32,0.0,0.0,True
gram,sm80_w1,0,zero,8,1,0.0,0.0,True
gram,sm80_w4,0,zero,8,1,0.0,0.0,True
gram,sm80_w8,0,zero,8,1,0.0,0.0,True
gram,sm80_pad_w4,0,zero,8,1,0.0,0.0,True
gram,sm80_transpose_w4,0,zero,8,1,0.0,0.0,True
gram,tc_direct,0,zero,8,1,0.0,0.0,True
gram,tc_transpose,0,zero,8,1,0.0,0.0,True
gram,sm80_w1,0,zero,8,32,0.0,0.0,True
gram,sm80_w4,0,zero,8,32,0.0,0.0,True
gram,sm80_w8,0,zero,8,32,0.0,0.0,True
gram,sm80_pad_w4,0,zero,8,32,0.0,0.0,True
gram,sm80_transpose_w4,0,zero,8,32,0.0,0.0,True
gram,tc_direct,0,zero,8,32,0.0,0.0,True
gram,tc_transpose,0,zero,8,32,0.0,0.0,True
projection,sm80_w1,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,sm80_w4,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,sm80_w8,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,sm80_pad_w4,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,sm80_transpose_w4,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,tc_direct,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,tc_transpose,0,random,8,1,1.2333801423799406e-07,1.062825322151184e-05,False
projection,sm80_w1,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,sm80_w4,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,sm80_w8,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,sm80_pad_w4,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,sm80_transpose_w4,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,tc_direct,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,tc_transpose,0,random,8,32,4.391000952213025e-06,0.00888204574584961,False
projection,sm80_w1,0,integer,8,1,0.0,0.0,True
projection,sm80_w4,0,integer,8,1,0.0,0.0,True
projection,sm80_w8,0,integer,8,1,0.0,0.0,True
projection,sm80_pad_w4,0,integer,8,1,0.0,0.0,True
projection,sm80_transpose_w4,0,integer,8,1,0.0,0.0,True
projection,tc_direct,0,integer,8,1,0.0,0.0,True
projection,tc_transpose,0,integer,8,1,0.0,0.0,True
projection,sm80_w1,0,integer,8,32,0.0,0.0,True
projection,sm80_w4,0,integer,8,32,0.0,0.0,True
projection,sm80_w8,0,integer,8,32,0.0,0.0,True
projection,sm80_pad_w4,0,integer,8,32,0.0,0.0,True
projection,sm80_transpose_w4,0,integer,8,32,0.0,0.0,True
projection,tc_direct,0,integer,8,32,0.0,0.0,True
projection,tc_transpose,0,integer,8,32,0.0,0.0,True
projection,sm80_w1,0,zero,8,1,0.0,0.0,True
projection,sm80_w4,0,zero,8,1,0.0,0.0,True
projection,sm80_w8,0,zero,8,1,0.0,0.0,True
projection,sm80_pad_w4,0,zero,8,1,0.0,0.0,True
projection,sm80_transpose_w4,0,zero,8,1,0.0,0.0,True
projection,tc_direct,0,zero,8,1,0.0,0.0,True
projection,tc_transpose,0,zero,8,1,0.0,0.0,True
projection,sm80_w1,0,zero,8,32,0.0,0.0,True
projection,sm80_w4,0,zero,8,32,0.0,0.0,True
projection,sm80_w8,0,zero,8,32,0.0,0.0,True
projection,sm80_pad_w4,0,zero,8,32,0.0,0.0,True
projection,sm80_transpose_w4,0,zero,8,32,0.0,0.0,True
projection,tc_direct,0,zero,8,32,0.0,0.0,True
projection,tc_transpose,0,zero,8,32,0.0,0.0,True
local_mix,sm80_w1,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,sm80_w4,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,sm80_w8,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,sm80_pad_w4,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,sm80_transpose_w4,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,tc_direct,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,tc_transpose,0,random,8,1,2.597280541686535e-08,1.430511474609375e-06,False
local_mix,sm80_w1,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,sm80_w4,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,sm80_w8,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,sm80_pad_w4,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,sm80_transpose_w4,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,tc_direct,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,tc_transpose,0,random,8,32,6.201627328633011e-07,0.000518798828125,False
local_mix,sm80_w1,0,integer,8,1,0.0,0.0,True
local_mix,sm80_w4,0,integer,8,1,0.0,0.0,True
local_mix,sm80_w8,0,integer,8,1,0.0,0.0,True
local_mix,sm80_pad_w4,0,integer,8,1,0.0,0.0,True
local_mix,sm80_transpose_w4,0,integer,8,1,0.0,0.0,True
local_mix,tc_direct,0,integer,8,1,0.0,0.0,True
local_mix,tc_transpose,0,integer,8,1,0.0,0.0,True
