timestamp, uuid, clocks.current.sm [MHz], clocks.current.memory [MHz], power.draw [W], temperature.gpu
2026/09/10 12:55:51.221, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 201.53 W, 34
2026/09/10 12:55:51.426, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 201.53 W, 34
2026/09/10 12:55:51.626, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 201.69 W, 34
2026/09/10 12:55:51.826, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 202.63 W, 34
2026/09/10 12:55:52.026, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 210.16 W, 34
2026/09/10 12:55:52.226, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 225.85 W, 35
2026/09/10 12:55:52.426, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 241.91 W, 35
2026/09/10 12:55:52.626, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 259.28 W, 35
2026/09/10 12:55:52.827, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 283.19 W, 36
2026/09/10 12:55:53.027, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 295.48 W, 35
2026/09/10 12:55:53.227, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 297.29 W, 35
2026/09/10 12:55:53.427, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 304.46 W, 35
2026/09/10 12:55:53.627, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 312.14 W, 36
2026/09/10 12:55:53.827, GPU-778768b4-6c9e-e483-890e-0812760948ae, 1095 MHz, 3996 MHz, 304.82 W, 35
