shape,method,registers,shared_bytes,local_bytes,max_ctas_per_sm
gram,sm80_w1,77,10496,0,20
gram,sm80_w4,77,10496,0,6
gram,sm80_w8,77,10496,0,3
gram,sm80_pad_w4,77,23552,0,6
gram,sm80_transpose_w4,77,10496,0,6
gram,tc_direct,38,25104,0,1
gram,tc_transpose,38,20496,0,1
projection,sm80_w1,88,39168,0,5
projection,sm80_w4,86,39168,0,5
projection,sm80_w8,79,39168,0,3
projection,sm80_pad_w4,80,52224,0,4
projection,sm80_transpose_w4,90,40960,0,5
projection,tc_direct,40,53776,0,1
projection,tc_transpose,30,36880,0,1
local_mix,sm80_w1,32,5120,0,32
local_mix,sm80_w4,32,5120,0,16
local_mix,sm80_w8,30,5120,0,8
local_mix,sm80_pad_w4,32,7424,0,16
local_mix,sm80_transpose_w4,32,6912,0,16
local_mix,tc_direct,30,10768,0,1
local_mix,tc_transpose,27,4624,0,1
state_update,sm80_w1,32,10496,0,20
state_update,sm80_w4,32,10496,0,16
state_update,sm80_w8,32,10496,0,8
state_update,sm80_pad_w4,32,10496,0,16
state_update,sm80_transpose_w4,32,10496,0,16
state_update,tc_direct,40,12816,0,1
state_update,tc_transpose,32,8208,0,1
square,sm80_w1,25,1536,0,32
square,sm80_w4,25,1536,0,16
square,sm80_w8,25,1536,0,8
square,sm80_pad_w4,31,3840,0,16
square,sm80_transpose_w4,25,1536,0,16
square,tc_direct,23,7184,0,1
square,tc_transpose,26,2576,0,1
