shape,m,n,k,batch,repeats,method,round,median_us,min_us,max_us,us_per_gemm
gram,16,16,128,1,1,sm80_w4,0,10.497066378593445,10.486400127410889,10.538666447003683,10.497066378593445
gram,16,16,128,1,1,sm80_pad_w4,0,11.099732915560404,11.0944002866745,11.106133460998535,11.099732915560404
gram,16,16,128,1,1,sm80_transpose_w4,0,10.55466632048289,10.541866223017374,10.567466417948404,10.55466632048289
gram,16,16,128,1,1,sm80_w8,0,6.3893333077430725,6.381866832574208,6.402133405208588,6.3893333077430725
gram,16,16,128,1,1,tc_transpose,0,12.18986709912618,12.186666329701742,12.204800049463907,12.18986709912618
gram,16,16,128,1,1,sm80_w1,0,11.02400024731954,11.019733548164368,11.030399799346924,11.02400024731954
gram,16,16,128,1,1,tc_direct,0,12.667733430862427,12.626133362452189,12.67413298288981,12.667733430862427
gram,16,16,128,1,1,sm80_pad_w4,1,11.103999614715576,11.096533139546713,11.1626664797465,11.103999614715576
gram,16,16,128,1,1,tc_transpose,1,12.18986709912618,12.146133184432983,12.198399504025778,12.18986709912618
gram,16,16,128,1,1,sm80_w8,1,6.412800153096517,6.381866832574208,6.459733347098033,6.412800153096517
gram,16,16,128,1,1,sm80_transpose_w4,1,10.548266768455505,10.50879955291748,10.557867089907328,10.548266768455505
gram,16,16,128,1,1,sm80_w1,1,11.046399672826132,11.017599701881409,11.060266693433126,11.046399672826132
gram,16,16,128,1,1,tc_direct,1,12.665599584579468,12.617599964141846,12.673067053159079,12.665599584579468
gram,16,16,128,1,1,sm80_w4,1,10.482133428255716,10.479999581972757,10.496000448862711,10.482133428255716
gram,16,16,128,1,1,sm80_pad_w4,2,11.110400160153707,11.090133587519327,11.123200257619223,11.110400160153707
gram,16,16,128,1,1,sm80_w8,2,6.394666433334351,6.390400230884552,6.459733347098033,6.394666433334351
gram,16,16,128,1,1,sm80_transpose_w4,2,10.552533467610678,10.492799679438273,10.5621337890625,10.552533467610678
gram,16,16,128,1,1,sm80_w4,2,10.487467050552368,10.482133428255716,10.493866602579752,10.487467050552368
gram,16,16,128,1,1,tc_direct,2,12.666666507720947,12.640000383059183,12.673067053159079,12.666666507720947
gram,16,16,128,1,1,tc_transpose,2,12.186666329701742,12.14293340841929,12.194133798281351,12.186666329701742
gram,16,16,128,1,1,sm80_w1,2,11.045333743095398,11.025066177050272,11.05386714140574,11.045333743095398
gram,16,16,128,1,1,sm80_w8,3,6.4000000556310015,6.3893333077430725,6.418133278687795,6.4000000556310015
gram,16,16,128,1,1,tc_direct,3,12.683733304341635,12.615467111269632,12.686933080355326,12.683733304341635
gram,16,16,128,1,1,sm80_w1,3,11.02826694647471,11.02293332417806,11.052800218264261,11.02826694647471
gram,16,16,128,1,1,sm80_pad_w4,3,11.123200257619223,11.114666859308878,11.124266187349955,11.123200257619223
gram,16,16,128,1,1,tc_transpose,3,12.140799562136332,12.136532862981161,12.181333700815836,12.140799562136332
gram,16,16,128,1,1,sm80_w4,3,10.499200224876404,10.475732882817587,10.51093339920044,10.499200224876404
gram,16,16,128,1,1,sm80_transpose_w4,3,10.513066252072653,10.503466924031576,10.567466417948404,10.513066252072653
gram,16,16,128,1,1,tc_transpose,4,12.18346655368805,12.133333086967468,12.193066875139872,12.18346655368805
gram,16,16,128,1,1,sm80_pad_w4,4,11.096533139546713,11.087999741236368,11.16159955660502,11.096533139546713
gram,16,16,128,1,1,tc_direct,4,12.656000256538391,12.625066439310709,12.680533528327942,12.656000256538391
gram,16,16,128,1,1,sm80_w4,4,10.501333077748617,10.478933652242025,10.545066992441813,10.501333077748617
gram,16,16,128,1,1,sm80_w1,4,11.04853351910909,11.04213297367096,11.055999994277954,11.04853351910909
gram,16,16,128,1,1,sm80_w8,4,6.410666803518931,6.398933132489522,6.452266871929169,6.410666803518931
gram,16,16,128,1,1,sm80_transpose_w4,4,10.507733623186747,10.503466924031576,10.557867089907328,10.507733623186747
gram,16,16,128,1,32,tc_direct,0,22.9802668094635,22.962133089701336,22.995199759801228,0.7181333377957344
gram,16,16,128,1,32,sm80_w1,0,23.13706676165263,23.132799069086712,23.178666830062866,0.7230333363016447
gram,16,16,128,1,32,sm80_pad_w4,0,23.24906587600708,23.23840061823527,23.270400365193684,0.7265333086252213
