case,method,output_exact,state_exact,finite
tail,official,True,True,True
tail,p0,True,True,True
tail,p1,True,True,True
tail,p2,True,True,True
tail,p4,True,True,True
h12_n1,official,True,True,True
h12_n1,p0,True,True,True
h12_n1,p1,True,True,True
h12_n1,p2,True,True,True
h12_n1,p4,True,True,True
h12_n8,official,True,True,True
h12_n8,p0,True,True,True
h12_n8,p1,True,True,True
h12_n8,p2,True,True,True
h12_n8,p4,True,True,True
h96_n1,official,True,True,True
h96_n1,p0,True,True,True
h96_n1,p1,True,True,True
h96_n1,p2,True,True,True
h96_n1,p4,True,True,True
h96_n8,official,True,True,True
h96_n8,p0,True,True,True
h96_n8,p1,True,True,True
h96_n8,p2,True,True,True
h96_n8,p4,True,True,True
h12_short,official,True,True,True
h12_short,p0,True,True,True
h12_short,p1,True,True,True
h12_short,p2,True,True,True
h12_short,p4,True,True,True
h96_skew,official,True,True,True
h96_skew,p0,True,True,True
h96_skew,p1,True,True,True
h96_skew,p2,True,True,True
h96_skew,p4,True,True,True
weak_check,official,True,True,True
weak_check,p0,True,True,True
weak_check,p1,True,True,True
weak_check,p2,True,True,True
weak_check,p4,True,True,True
near_check,official,True,True,True
near_check,p0,True,True,True
near_check,p1,True,True,True
near_check,p2,True,True,True
near_check,p4,True,True,True
retention_check,official,True,True,True
retention_check,p0,True,True,True
retention_check,p1,True,True,True
retention_check,p2,True,True,True
retention_check,p4,True,True,True
