timestamp, uuid, clocks.current.sm [MHz], power.draw [W]
2026/09/11 00:20:25.348, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 187.85 W
2026/09/11 00:20:25.553, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 195.32 W
2026/09/11 00:20:25.754, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 206.99 W
2026/09/11 00:20:25.954, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 227.96 W
2026/09/11 00:20:26.154, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 259.76 W
2026/09/11 00:20:26.354, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 293.44 W
2026/09/11 00:20:26.554, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 311.14 W
2026/09/11 00:20:26.754, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 332.73 W
2026/09/11 00:20:26.954, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 345.80 W
2026/09/11 00:20:27.154, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 342.53 W
2026/09/11 00:20:27.354, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 392.89 W
2026/09/11 00:20:27.554, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 460.70 W
2026/09/11 00:20:27.754, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 539.64 W
2026/09/11 00:20:27.954, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 623.96 W
2026/09/11 00:20:28.155, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 709.39 W
2026/09/11 00:20:28.355, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 739.80 W
2026/09/11 00:20:28.555, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 762.40 W
2026/09/11 00:20:28.755, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 779.83 W
2026/09/11 00:20:28.955, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 770.86 W
2026/09/11 00:20:29.155, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 791.93 W
2026/09/11 00:20:29.355, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 775.99 W
2026/09/11 00:20:29.555, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 802.29 W
2026/09/11 00:20:29.755, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 847.22 W
2026/09/11 00:20:29.955, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2010 MHz, 913.90 W
2026/09/11 00:20:30.155, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 943.97 W
2026/09/11 00:20:30.355, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 1010.90 W
2026/09/11 00:20:30.555, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2025 MHz, 1050.26 W
2026/09/11 00:20:30.755, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 1038.18 W
2026/09/11 00:20:30.956, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 944.88 W
2026/09/11 00:20:31.156, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 924.34 W
2026/09/11 00:20:31.356, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 867.08 W
2026/09/11 00:20:31.556, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 838.57 W
2026/09/11 00:20:31.756, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 778.54 W
2026/09/11 00:20:31.956, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 844.26 W
2026/09/11 00:20:32.156, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 811.26 W
2026/09/11 00:20:32.356, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 846.35 W
2026/09/11 00:20:32.556, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 833.56 W
2026/09/11 00:20:32.756, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 791.96 W
2026/09/11 00:20:32.956, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 663.33 W
2026/09/11 00:20:33.156, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 568.53 W
2026/09/11 00:20:33.357, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 447.48 W
2026/09/11 00:20:33.557, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 328.02 W
2026/09/11 00:20:33.757, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 269.91 W
2026/09/11 00:20:33.957, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 268.76 W
2026/09/11 00:20:34.157, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 267.70 W
2026/09/11 00:20:34.357, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 268.44 W
2026/09/11 00:20:34.557, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 268.03 W
2026/09/11 00:20:34.757, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 267.71 W
2026/09/11 00:20:34.957, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 266.91 W
2026/09/11 00:20:35.157, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 269.29 W
2026/09/11 00:20:35.357, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 267.83 W
2026/09/11 00:20:35.557, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 266.03 W
2026/09/11 00:20:35.758, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 265.20 W
2026/09/11 00:20:35.958, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 264.41 W
2026/09/11 00:20:36.158, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 262.55 W
2026/09/11 00:20:36.358, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 262.25 W
2026/09/11 00:20:36.558, GPU-dadf9f3b-df58-d3fa-07b0-5fe223423db1, 2032 MHz, 263.11 W
