sequence,length,method,output_relative,state_relative
0,15,official,0.005758043358401286,0.004680394350521543
0,15,p0,0.005758043358401286,0.004680394350521543
0,15,p1,0.005758043358401286,0.004680394350521543
0,15,p2,0.005758043358401286,0.004680394350521543
0,15,p4,0.005758043358401286,0.004680394350521543
1,16,official,0.006954869164555715,0.004999963717850421
1,16,p0,0.006954869164555715,0.004999963717850421
1,16,p1,0.006954869164555715,0.004999963717850421
1,16,p2,0.006954869164555715,0.004999963717850421
1,16,p4,0.006954869164555715,0.004999963717850421
2,17,official,0.006638315654964373,0.004297230512403299
2,17,p0,0.006638315654964373,0.004297230512403299
2,17,p1,0.006638315654964373,0.004297230512403299
2,17,p2,0.006638315654964373,0.004297230512403299
2,17,p4,0.006638315654964373,0.004297230512403299
3,33,official,0.005296377078465245,0.005180531377332795
3,33,p0,0.005296377078465245,0.005180531377332795
3,33,p1,0.005296377078465245,0.005180531377332795
3,33,p2,0.005296377078465245,0.005180531377332795
3,33,p4,0.005296377078465245,0.005180531377332795
