case,method,round,median_us,min_us,max_us
tail,p1,0,27.740800380706787,27.57120132446289,27.852800488471985
tail,p0,0,20.662399381399155,20.479999482631683,20.83200067281723
tail,official,0,20.684799551963806,20.505599677562714,20.825600624084473
tail,p4,0,17.132800072431564,16.9855996966362,17.363199591636658
tail,p2,0,19.51039955019951,19.411200284957886,19.808000326156616
tail,p1,1,27.670399844646454,27.5519996881485,27.827200293540955
tail,p2,1,19.462400674819946,19.404800236225128,19.66080069541931
tail,p4,1,17.09439978003502,16.979199647903442,17.38239973783493
tail,official,1,20.687999576330185,20.473599433898926,20.768000185489655
tail,p0,1,20.659199357032776,20.473599433898926,20.742399990558624
tail,p1,2,27.635198831558228,27.57759988307953,27.878400683403015
tail,p0,2,20.719999819993973,20.51839977502823,20.774400234222412
tail,p2,2,19.50400024652481,19.404800236225128,19.82080042362213
tail,p4,2,17.35359951853752,17.075200378894806,17.38239973783493
tail,official,2,20.64639925956726,20.479999482631683,20.844799280166626
tail,official,3,20.681599527597427,20.473599433898926,20.844799280166626
tail,p1,3,27.609598636627197,27.57120132446289,27.81440019607544
tail,p2,3,19.465600699186325,19.385600090026855,19.7952002286911
tail,p4,3,17.267199605703354,16.998399794101715,17.40799993276596
tail,p0,3,20.710399746894836,20.479999482631683,20.742399990558624
tail,p2,4,19.468799978494644,19.417600333690643,19.686399400234222
tail,p4,4,17.25120022892952,17.017599940299988,17.41439998149872
tail,official,4,20.713599771261215,20.479999482631683,20.774400234222412
tail,p1,4,27.686399221420288,27.54560112953186,27.852800488471985
tail,p0,4,20.556800067424774,20.454399287700653,20.735999941825867
h12_n1,p1,0,1879.0656089782715,1878.4639358520508,1879.2512893676758
h12_n1,p0,0,781.990385055542,781.2352180480957,782.5471878051758
h12_n1,official,0,781.8464040756226,781.1776161193848,782.4575901031494
h12_n1,p4,0,647.1679925918579,646.7967987060547,647.2832202911377
h12_n1,p2,0,834.496021270752,834.124755859375,834.8992347717285
h12_n1,p1,1,1878.9567947387695,1878.656005859375,1879.5072555541992
h12_n1,p2,1,834.7679615020752,834.278392791748,834.8544120788574
h12_n1,p4,1,647.1455812454224,646.7904090881348,647.2576141357422
h12_n1,official,1,781.9168090820312,781.2032222747803,782.3296070098877
h12_n1,p0,1,781.6351890563965,781.4527988433838,782.425594329834
h12_n1,p1,2,1879.1135787963867,1878.6495208740234,1879.4624328613281
h12_n1,p0,2,781.9967985153198,781.8431854248047,782.3296070098877
h12_n1,p2,2,834.7647666931152,834.3487739562988,834.9056243896484
h12_n1,p4,2,646.9568014144897,646.7520236968994,647.2832202911377
h12_n1,official,2,781.7343950271606,781.5104007720947,782.2783946990967
h12_n1,official,3,781.6704034805298,781.5936088562012,782.1568012237549
h12_n1,p1,3,1879.1264533996582,1878.4255981445312,1879.2959213256836
h12_n1,p2,3,834.5056056976318,834.3615531921387,834.9120140075684
h12_n1,p4,3,647.0560073852539,646.7455863952637,647.6607799530029
h12_n1,p0,3,781.8591833114624,781.1520099639893,782.2720050811768
h12_n1,p2,4,834.4256401062012,834.335994720459,834.8608016967773
h12_n1,p4,4,647.0687866210938,646.8287944793701,647.379207611084
h12_n1,official,4,781.9551944732666,781.5872192382812,782.4063777923584
h12_n1,p1,4,1878.873634338379,1878.6048889160156,1879.520034790039
h12_n1,p0,4,781.8048000335693,781.22878074646,782.3552131652832
h12_n8,p1,0,286.90240383148193,286.7647886276245,287.5839948654175
h12_n8,p0,0,144.05759572982788,143.77599954605103,144.4607973098755
h12_n8,official,0,144.16959881782532,143.78880262374878,144.36479806900024
h12_n8,p4,0,209.95841026306152,209.79840755462646,210.26558876037598
h12_n8,p2,0,179.24800515174866,179.1808009147644,179.55199480056763
h12_n8,p1,1,287.1424078941345,286.6368055343628,287.77599334716797
h12_n8,p2,1,179.3824017047882,179.1424036026001,179.51359748840332
h12_n8,p4,1,210.1472020149231,209.84959602355957,210.33599376678467
h12_n8,official,1,144.25599575042725,144.17279958724976,144.42239999771118
h12_n8,p0,1,144.14719939231873,143.81439685821533,144.60159540176392
h12_n8,p1,2,287.0944023132324,286.7392063140869,287.21280097961426
h12_n8,p0,2,144.21120285987854,143.88480186462402,144.60159540176392
h12_n8,p2,2,179.36639785766602,179.21279668807983,179.59680557250977
h12_n8,p4,2,210.0607991218567,209.74080562591553,210.37440299987793
h12_n8,official,2,144.2463994026184,144.04480457305908,144.4607973098755
h12_n8,official,3,144.26239728927612,143.9039945602417,144.61439847946167
h12_n8,p1,3,287.02399730682373,286.899209022522,287.391996383667
h12_n8,p2,3,179.25119996070862,179.12319898605347,179.4111967086792
h12_n8,p4,3,209.8912000656128,209.63199138641357,210.23359298706055
h12_n8,p0,3,144.08000111579895,143.84000301361084,144.268798828125
h12_n8,p2,4,179.475200176239,179.10399436950684,179.60959672927856
h12_n8,p4,4,209.86239910125732,209.75360870361328,210.33599376678467
h12_n8,official,4,144.05760169029236,143.8912034034729,144.4607973098755
h12_n8,p1,4,286.97599172592163,286.5151882171631,287.28320598602295
h12_n8,p0,4,144.23359632492065,143.8271999359131,144.58880424499512
h96_n1,p1,0,2110.409641265869,2109.8623275756836,2110.848045349121
h96_n1,p0,0,1017.907190322876,1017.3439979553223,1018.3487892150879
h96_n1,official,0,1018.2431697845459,1017.7984237670898,1018.6047554016113
h96_n1,p4,0,1489.3824100494385,1488.9408111572266,1489.459228515625
h96_n1,p2,0,1266.1952018737793,1265.766429901123,1266.368007659912
h96_n1,p1,1,2110.2240562438965,2109.7408294677734,2110.8224868774414
h96_n1,p2,1,1266.1407947540283,1265.721607208252,1266.7776107788086
h96_n1,p4,1,1489.1551971435547,1488.7999534606934,1489.465618133545
h96_n1,official,1,1018.1216239929199,1017.7984237670898,1018.3615684509277
h96_n1,p0,1,1018.1439876556396,1017.734432220459,1018.6431884765625
h96_n1,p1,2,2110.326385498047,2109.6256256103516,2110.8800888061523
h96_n1,p0,2,1018.2143688201904,1017.6447868347168,1018.6816215515137
h96_n1,p2,2,1266.0959720611572,1265.779209136963,1266.3423538208008
h96_n1,p4,2,1489.19677734375,1488.9599800109863,1489.356803894043
h96_n1,official,2,1018.11842918396,1017.676830291748,1018.6880111694336
h96_n1,official,3,1018.2080268859863,1017.7023887634277,1018.5215950012207
h96_n1,p1,3,2110.198402404785,2109.7280502319336,2110.7839584350586
h96_n1,p2,3,1266.1216259002686,1265.7600402832031,1266.579246520996
h96_n1,p4,3,1489.0719890594482,1488.6848449707031,1489.3888473510742
h96_n1,p0,3,1018.1344032287598,1017.6959991455078,1018.6495780944824
h96_n1,p2,4,1266.1280155181885,1265.8495903015137,1266.3423538208008
h96_n1,p4,4,1489.1456127166748,1488.742446899414,1489.4335746765137
h96_n1,official,4,1018.1119918823242,1017.4400329589844,1018.5600280761719
h96_n1,p1,4,2110.7295989990234,2110.3103637695312,2111.2255096435547
h96_n1,p0,4,1018.1344032287598,1017.7599906921387,1018.6304092407227
h96_n8,p1,0,1077.5007724761963,1077.126407623291,1078.6368370056152
h96_n8,p0,0,682.5792074203491,682.144021987915,683.1168174743652
h96_n8,official,0,682.4704170227051,681.9839954376221,682.8735828399658
h96_n8,p4,0,1241.0847663879395,1240.5823707580566,1242.124843597412
h96_n8,p2,0,1003.0144214630127,1002.6111602783203,1003.5200119018555
h96_n8,p1,1,1077.936029434204,1077.5232315063477,1078.7839889526367
h96_n8,p2,1,1003.0848026275635,1002.7008056640625,1003.3408164978027
h96_n8,p4,1,1240.9855842590332,1240.396785736084,1241.766357421875
h96_n8,official,1,682.3359966278076,681.6895961761475,682.8800201416016
h96_n8,p0,1,688.3103847503662,686.1631870269775,689.3311977386475
h96_n8,p1,2,1079.6799659729004,1079.0847778320312,1087.6928329467773
h96_n8,p0,2,682.5439929962158,682.2400093078613,682.9440116882324
h96_n8,p2,2,1002.9856204986572,1002.7520179748535,1003.4111976623535
h96_n8,p4,2,1241.4848327636719,1240.601634979248,1242.470359802246
h96_n8,official,2,683.6895942687988,681.9839954376221,687.769603729248
h96_n8,official,3,688.54079246521,687.7823829650879,689.0687942504883
h96_n8,p1,3,1080.1024436950684,1077.996826171875,1092.6079750061035
h96_n8,p2,3,1003.1711578369141,1002.8544425964355,1003.9679527282715
h96_n8,p4,3,1241.0399913787842,1240.4864311218262,1241.7792320251465
h96_n8,p0,3,683.2831859588623,681.8624019622803,684.1536045074463
h96_n8,p2,4,1005.0144195556641,1003.4687995910645,1011.5839958190918
h96_n8,p4,4,1240.9568309783936,1240.4735565185547,1241.4143562316895
h96_n8,official,4,682.8832149505615,682.1119785308838,682.9440116882324
h96_n8,p1,4,1078.39035987854,1077.126407623291,1084.006404876709
h96_n8,p0,4,682.5248003005981,682.1375846862793,682.8351974487305
h12_short,p1,0,48.30720126628876,48.204800486564636,48.53120148181915
h12_short,p0,0,24.371199309825897,24.166400730609894,24.435199797153473
h12_short,official,0,24.33280050754547,23.99359941482544,24.39039945602417
h12_short,p4,0,23.174399882555008,23.08479994535446,23.347200453281403
h12_short,p2,0,28.90560030937195,28.81920039653778,29.08160090446472
h12_short,p1,1,48.5152006149292,48.21760058403015,48.58880043029785
h12_short,p2,1,28.883200883865356,28.69119942188263,29.08799946308136
h12_short,p4,1,23.206399381160736,23.14240038394928,23.468799889087677
h12_short,official,1,24.3648000061512,24.166400730609894,24.409599602222443
h12_short,p0,1,24.368000030517578,24.14720058441162,24.447999894618988
h12_short,p1,2,48.47999960184097,48.24320077896118,48.524799942970276
h12_short,p0,2,24.304000288248062,24.0447998046875,24.4159996509552
h12_short,p2,2,28.90240103006363,28.672000765800476,29.08799946308136
h12_short,p4,2,23.148800432682037,23.097600042819977,23.308800160884857
h12_short,official,2,24.294400215148926,24.07039999961853,24.371199309825897
h12_short,official,3,24.326400458812714,24.07039999961853,24.396799504756927
h12_short,p1,3,48.48320037126541,48.21760058403015,48.550400137901306
h12_short,p2,3,28.854399919509888,28.6655992269516,29.08160090446472
h12_short,p4,3,23.16480055451393,23.123200237751007,23.41119945049286
h12_short,p0,3,24.36799928545952,24.166400730609894,24.435199797153473
